"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","CAR",391,22.2,60.5,366,417,218,215,227,1,1,1,1,"1",1.92,67.3,10
"2","Saquon Barkley","RB","NYG",331,23.7,13.7,307,363,158,156,174,2,2,2,2,"2",2.13,60.5,19
"3","Ezekiel Elliott","RB","DAL",317,19.8,18.1,302,348,144,151,158,3,4,3,3,"3",3.44,57.1,6
"4","Patrick Mahomes","QB","KC",425,21.7,3.73,402,456,140,147,140,4,5,4,1,"1",16.4,38.1,3
"5","Lamar Jackson","QB","BAL",421,11.9,45.7,408,435,136,153,119,5,3,8,2,"2",42,36.3,1
"6","Dalvin Cook","RB","MIN",299,13.7,0.264,285,319,126,134,129,6,7,5,4,"3",7.95,49.3,3
"7","Alvin Kamara","RB","NO",299,10.1,27,286,312,125,135,122,7,6,6,5,"4",4.22,51.1,1
"8","Michael Thomas","WR","NO",332,12.7,33.6,317,349,125,125,121,8,8,7,1,"1",8.48,47.7,4
"9","Travis Kelce","TE","KC",254,22.8,17.5,221,280,103,87.8,111,9,19,10,1,"1",18.3,30.7,29
"10","Austin Ekeler","RB","LAC",272,26.3,4.17,245,308,98.4,93.5,118,10,15,9,6,"4",30,39,51
"11","Clyde Edwards-Helaire","RB","KC",267,9.09,2.37,257,279,94.2,106,89.5,11,9,15,7,"4",9.22,46.3,1
"12","Miles Sanders","RB","PHI",265,21.6,2.44,248,297,91.9,96.3,107,12,11,11,8,"4",27.5,36.9,32
"13","Davante Adams","WR","GB",298,8.77,14.8,286,307,90.9,94.3,78.3,13,14,24,2,"1",11.3,39.2,3
"14","Russell Wilson","QB","SEA",375,15.3,2.93,360,397,90.2,105,81.5,14,10,20,3,"2",64.8,18.3,9
"15","Derrick Henry","RB","TEN",263,17.2,4.81,238,283,89.4,86.9,93,15,20,13,9,"5",16.1,46,17
"16","Dak Prescott","QB","DAL",372,19.5,10.1,351,401,87.2,95.7,85.1,16,13,19,4,"3",75.9,20.1,6
"17","George Kittle","TE","SF",237,15.7,25.9,216,256,86,82.7,87.3,17,21,17,2,"2",24.5,27.8,6
"18","Aaron Jones","RB","GB",258,20.1,1.2,241,289,84.6,90.1,99.1,18,18,12,10,"5",20.9,35.9,22
"19","Kenyan Drake","RB","ARI",257,13.8,0.0899,247,278,83.4,96,88.5,19,12,16,11,"5",36.8,36.3,4
"20","Joe Mixon","RB","CIN",256,16.7,7.82,243,282,83.3,91.5,92.2,20,17,14,12,"6",13.1,39.6,11
"21","Deshaun Watson","QB","HOU",362,14.6,13.4,348,383,77.1,92.9,67.8,21,16,30,5,"4",54,18.8,11
"22","Julio Jones","WR","ATL",283,7.19,12.5,274,292,76.1,82,63.4,22,22,34,3,"2",15.1,34.8,1
"23","Josh Jacobs","RB","LVR",249,21.4,5.01,223,276,75.5,71.3,86.1,23,24,18,13,"6",19.7,41.5,26
"24","Nick Chubb","RB","CLE",244,19.7,6.01,222,271,70.5,70.7,81.4,24,25,21,14,"6",13,33.9,15
"25","Todd Gurley","RB","ATL",238,21.5,7.77,218,268,64.5,67.2,78.3,25,26,25,15,"7",24.5,25.8,44
"26","Kyler Murray","QB","ARI",349,33.2,3.57,310,393,63.7,55.5,77.5,26,34,26,6,"4",71.2,20.6,29
"27","DeAndre Hopkins","WR","ARI",271,21.3,2.19,256,303,63.5,63.9,74.2,27,27,27,4,"2",13.4,33.6,32
"28","Tyreek Hill","WR","KC",269,22.5,16.6,245,300,61.3,53.1,71.1,28,36,29,5,"3",14.2,35,26
"29","Drew Brees","QB","NO",345,15,7.47,329,367,60.1,74.5,51,29,23,38,7,"4",80.1,9.47,23
"30","Zach Ertz","TE","PHI",211,11.9,12.6,197,226,60,62.9,57.7,30,28,36,3,"3",43.1,15.7,1
"31","LeVeon Bell","RB","NYJ",230,32.2,1.93,191,270,56.7,40.2,80,31,40,23,16,"7",29.3,19.9,64
"32","James Conner","RB","PIT",228,16.2,0.89,214,251,54.8,62.7,61.1,32,29,35,17,"7",20.5,29.4,21
"33","David Johnson","RB","HOU",227,22,1.57,206,256,53.9,54.5,65.9,33,35,32,18,"7",32.7,24,47
"34","Matt Ryan","QB","ATL",338,17.4,1.11,313,355,52.7,57.8,39.8,34,33,46,8,"4",74.5,11.1,14
"35","Chris Carson","RB","SEA",225,23.4,10.7,210,263,52.3,59.2,73.1,35,32,28,19,"8",26.4,27.8,40
"36","Tom Brady","QB","TB",337,35.1,0.0751,292,383,51.6,37.2,67.7,36,44,31,9,"4",94.2,10.2,69
"37","Carson Wentz","QB","PHI",336,18.6,5.6,316,364,51.5,60.8,48.2,37,30,41,10,"5",89.3,8.36,26
"38","Mark Andrews","TE","BAL",198,14,3.21,181,217,47.5,47.6,48.1,38,37,42,4,"3",71.6,16.6,3
"39","Aaron Rodgers","QB","GB",331,13.7,1.63,314,349,45.9,59.3,33,39,31,52,11,"5",88.1,7.27,37
"40","Chris Godwin","WR","TB",252,20.1,8.11,227,278,44.8,34.8,49.6,40,46,39,6,"4",30,30.1,25
"41","Josh Allen","QB","BUF",329,24.5,10.3,293,354,44.3,38.4,38.3,41,43,47,12,"5",105,10.3,20
"42","Darren Waller","TE","LVR",195,14.8,25,181,217,44.3,46.8,48.5,42,38,40,5,"4",61.3,12.7,9
"43","Melvin Gordon","RB","DEN",215,20.6,8.24,194,243,41.6,42.3,53.3,43,39,37,20,"9",38.3,18.4,35
"44","D.J. Moore","WR","CAR",244,21.8,2.44,221,274,36.7,29.5,45.3,44,54,43,7,"4",47,20.7,43
"45","Allen Robinson","WR","CHI",241,13.9,0.266,226,258,34.2,34,29,45,47,56,8,"4",47.1,19.8,8
"46","Matthew Stafford","QB","DET",319,27.1,3.09,282,348,34,27.4,32.9,46,57,53,13,"6",126,8.24,51
"47","Mike Evans","WR","TB",241,20.8,0.407,213,266,34,21.5,37.8,47,63,48,9,"4",27.9,23.2,44
"48","Kenny Golladay","WR","DET",241,28,0.652,200,270,33.5,8.44,41.7,48,82,44,10,"4",36.4,25.7,58
"49","Leonard Fournette","RB","FA",207,52.7,4.94,151,271,33.4,0,81,49,93,22,21,"9",44,14.1,96
"50","Leonard Fournette","RB","TB",207,52.7,4.94,151,271,33.4,0,81,49,93,22,21,"9",44,14.1,96
"51","Robert Woods","WR","LAR",240,13.5,1.07,223,257,32.9,31.2,28.4,50,49,57,11,"4",53.6,16.9,22
"52","Odell Beckham","WR","CLE",239,17.7,0.884,223,266,31.8,31.1,37.7,51,51,49,12,"4",27.2,20.7,33
"53","Cam Newton","QB","NE",316,23.1,4.67,283,339,30.9,27.6,23,53,56,62,14,"6",116,6.89,91
