"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"162","Danny Amendola","WR","MIA",142,31.1,0.661,111,192,-46.9,-55.6,-23.3,159,164,139,56,"10",178,1.3,90
"163","Tyler Lockett","WR","SEA",141,19.4,0.682,120,171,-47.6,-46.5,-44.4,160,153,168,57,"10",151,1.61,72
"164","Dede Westbrook","WR","JAC",141,29.4,6.12,106,186,-48.3,-61,-29.2,161,173,149,58,"10",154,1.3,89
"165","Corey Clement","RB","PHI",111,9.73,2.85,101,126,-50.1,-31,-65.6,162,137,210,50,"14",143,1.76,30
"166","Ryan Griffin","TE","HOU",86.1,21.4,1.22,50.6,106,-50.7,-71.7,-54.5,163,187,184,29,"10",266,1,80
"167","Luke Willson","TE","DET",84.9,20.8,4.28,61.5,118,-51.9,-60.8,-42.5,164,172,164,30,"10",281,1.18,69
"168","Austin Ekeler","RB","LAC",108,13.2,0.745,88.4,127,-52.9,-43.5,-64.5,165,147,207,51,"14",157,1.84,39
"169","T.J. Yeldon","RB","JAC",107,19.9,5.11,84.3,138,-53.7,-47.5,-53.1,166,155,180,52,"14",175,1.62,44
"170","Cameron Meredith","WR","NO",135,24.6,0.000528,108,168,-54.4,-58.7,-47.1,167,167,171,59,"10",138,1.69,86
"171","Paul Richardson","WR","WAS",135,31.6,0.797,88.1,175,-54.4,-78.4,-39.9,168,194,163,60,"10",168,1.25,93
"172","John Ross","WR","CIN",134,13.2,1.99,115,151,-55.2,-51.6,-64.4,169,157,206,61,"10",164,1.3,68
"173","Nick Vannett","TE","SEA",80.6,27.2,3.82,53.7,123,-56.2,-68.6,-37,170,182,160,31,"11",278,1.38,94
"174","D.J. Moore","WR","CAR",132,38.9,1,73.9,187,-57.2,-92.6,-27.8,171,221,146,62,"10",135,1.76,97
"175","John Brown","WR","BAL",131,24.8,0.00298,102,168,-58.2,-65,-47.5,172,175,172,63,"10",145,1.6,82
"176","Mike Wallace","WR","PHI",131,22.6,1.84,98.1,158,-58.2,-68.5,-56.8,173,181,188,64,"11",214,1.26,83
"177","Latavius Murray","RB","MIN",102,29.7,0.903,67.7,152,-58.8,-64.2,-39.3,174,174,162,53,"14",138,1.82,72
"178","Aaron Jones","RB","GB",101,28,5.32,73.9,148,-59.7,-57.9,-43.3,175,166,167,54,"15",122,2.24,86
"179","Calvin Ridley","WR","ATL",129,35,1.05,85.7,181,-60,-80.8,-34,177,196,157,65,"11",133,1.89,96
"180","Tyler Higbee","TE","LAR",76.8,14.2,1.66,62,98.8,-60,-60.4,-61.5,176,171,200,32,"11",273,1,57
"181","Quincy Enunwa","WR","NYJ",128,20.7,3.07,101,155,-61.1,-65.2,-60.4,178,176,198,66,"11",245,1.54,75
"182","Jake Butt","TE","DEN",75.1,23.2,0.916,37.2,103,-61.7,-85.1,-57.1,179,205,189,33,"11",267,1.1,83
"183","Dallas Goedert","TE","PHI",74.2,22,0.146,51,109,-62.6,-71.3,-51.6,180,186,178,34,"11",261,1.13,91
"184","Garrett Celek","TE","SF",74.1,23,3.09,49,109,-62.7,-73.3,-51.5,181,190,177,35,"11",151,1,97
"185","Chris Godwin","WR","TB",125,23.5,0.0228,98.2,163,-64.1,-68.3,-52.2,182,180,179,67,"11",150,1.35,79
"186","Donte Moncrief","WR","JAC",125,15.2,0.494,107,150,-64.2,-59.3,-65.5,183,169,209,68,"11",219,1.92,61
"187","Ryan Grant","WR","IND",124,22.4,0.0138,96.6,155,-64.7,-70,-60.3,184,184,197,69,"11",246,1.38,85
"188","Mike Williams","WR","LAC",124,40.1,1.61,70,179,-64.7,-96.6,-36.2,185,230,158,70,"11",131,1.83,99
"189","Doug Martin","RB","OAK",95.6,13.4,0.288,77.4,113,-65,-54.5,-78.5,186,161,232,55,"15",162,1.41,32
"190","Jordan Wilkins","RB","IND",95.3,26.7,1.28,55.5,131,-65.3,-76.3,-60.6,187,192,199,56,"15",147,1.5,93
"191","Tyler Kroft","TE","CIN",71,21.1,1.08,45.8,106,-65.8,-76.6,-54.1,188,193,183,36,"11",279,1,77
"192","Michael Gallup","WR","DAL",123,39.1,1.83,74.1,181,-66.3,-92.4,-33.8,189,220,156,71,"11",134,1.64,99
"193","Frank Gore","RB","MIA",94.1,22.1,1.8,65.1,122,-66.6,-66.8,-69.5,190,177,215,57,"15",184,1.45,63
"194","Jermaine Kearse","WR","NYJ",121,16.6,0.446,98.9,145,-68.1,-67.7,-70.3,193,178,217,72,"11",266,1.46,52
"195","Darren Sproles","RB","PHI",92.3,10.4,0.0297,77.1,106,-68.4,-54.8,-85.1,194,162,242,58,"15",252,1.78,31
"196","Ronald Jones","RB","TB",92.2,16.3,3.09,73.1,117,-68.4,-58.8,-74.3,195,168,225,59,"15",110,4.2,52
"197","Chris Ivory","RB","BUF",89.1,26.1,0.5,59,129,-71.5,-72.9,-61.8,197,189,201,60,"15",238,1.51,65
"198","Nick Chubb","RB","CLE",88.6,27.1,2.05,49.5,119,-72,-82.4,-72.1,201,200,222,61,"15",127,1.88,79
"199","Nyheim Hines","RB","IND",86.6,28.4,1.11,42.5,118,-74.1,-89.3,-72.7,206,212,223,62,"15",189,1.44,80
"200","Sam Darnold","QB","NYJ",201,65,22.6,84.6,258,-74.6,-166,-49.1,208,492,175,30,"11",219,1.89,83
"201","DOnta Foreman","RB","HOU",85.5,38.6,4.17,52.8,148,-75.2,-79.1,-43.3,211,195,166,63,"15",165,1.59,99
"202","Spencer Ware","RB","KC",81.3,27.6,0.392,47,120,-79.3,-84.8,-71.2,217,204,220,64,"16",182,1.27,75
"203","LeGarrette Blount","RB","DET",80.9,13.4,1.21,61.4,101,-79.7,-70.5,-90.4,218,185,258,65,"16",143,1.63,37
"204","Wayne Gallman","RB","NYG",79.7,19,2.84,50.3,102,-80.9,-81.6,-89.5,219,198,255,66,"16",261,1,56
"205","Kenneth Dixon","RB","BAL",76.9,21.7,2.05,41.7,103,-83.8,-90.1,-88,222,215,251,67,"16",255,1.03,76
"206","Rod Smith","RB","DAL",74.8,20.2,9.52,50.9,104,-85.8,-80.9,-87.3,228,197,247,68,"16",259,1.28,61
"207","Chase Edmonds","RB","ARI",65.3,26.4,0.423,21.6,92.8,-95.3,-110,-98.3,243,258,276,69,"16",240,1.36,73
"208","C.J. Prosise","RB","SEA",64.9,28.1,1.48,24.8,97.1,-95.8,-107,-94,245,250,262,70,"17",259,2.08,87
"209","Sam Bradford","QB","ARI",179,61.1,73.3,122,278,-97.2,-128,-29,247,357,147,31,"12",263,1.98,89
"210","Jalen Richard","RB","OAK",63.4,29,0.0272,21,95.1,-97.2,-111,-96,248,261,269,71,"17",267,1,89
"211","Kyle Juszczyk","RB","SF",63.4,34.9,0.622,7.53,97.6,-97.3,-124,-93.5,249,346,261,72,"17",275,1,97
"212","Nathan Peterman","QB","BUF",105,88.2,3.82,7.21,243,-170,-243,-63.8,521,532,203,32,"12",151,1.14,97
"213","Josh Allen","QB","BUF",101,83.4,3.03,3.33,212,-174,-247,-94.3,538,535,266,33,"12",274,1.91,94
"214","Ryan Fitzpatrick","QB","TB",98.4,74.7,14,47.6,222,-177,-203,-84.3,548,529,241,34,"13",151,1.62,80
"215","Josh Rosen","QB","ARI",84.4,50.6,17.8,12.1,149,-191,-238,-158,612,531,424,35,"14",280,1.14,71
"216","Baker Mayfield","QB","CLE",66.6,37,11.3,15,117,-209,-235,-189,613,530,537,36,"15",212,2.3,54
