"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Bijan Robinson","RB","ATL",332,21.5,13.8,312,366,160,165,165,1,1,1,1,"1",3.57,54.7,13
"2","Saquon Barkley","RB","PHI",319,11.7,0.667,301,331,146,154,130,2,3,5,2,"1",5.72,51.9,3
"3","Jahmyr Gibbs","RB","DET",318,12.1,21.4,304,336,145,157,135,3,2,4,3,"2",6.82,47.5,1
"4","Ja'Marr Chase","WR","CIN",355,21.3,38.2,332,386,144,140,144,4,4,2,1,"1",2.89,55.1,10
"5","Lamar Jackson","QB","BAL",438,25.2,6.16,410,473,137,135,139,5,5,3,1,"1",18.8,32.2,11
"6","Josh Allen","QB","BUF",432,23.9,16.8,401,462,130,127,128,6,7,6,2,"1",18.2,36.8,3
"7","Devon Achane","RB","MIA",297,14.9,8.22,274,313,124,127,113,7,6,9,4,"2",16.2,35.8,7
"8","Christian McCaffrey","RB","SF",288,19.6,12.9,263,316,116,116,116,8,8,8,5,"3",12.2,49.4,14
"9","Joe Burrow","QB","CIN",415,24.8,2.86,386,445,114,111,111,9,10,10,3,"2",31.8,22.1,6
"10","Jayden Daniels","QB","WAS",412,22.4,14.9,385,443,111,110,109,10,12,12,4,"3",34.8,22.2,9
"11","Justin Jefferson","WR","MIN",317,28.2,4.6,285,359,106,93.3,117,12,18,7,2,"1",6.8,54.6,47
"12","Brock Bowers","TE","LVR",259,13.4,4.55,245,279,106,102,105,11,14,13,1,"1",37.5,25,9
"13","Derrick Henry","RB","BAL",275,17.7,0.135,257,301,103,110,101,13,11,14,6,"3",14,47,11
"14","Josh Jacobs","RB","GB",275,17.1,0.869,259,300,103,112,99.7,14,9,16,7,"3",19.9,36.3,9
"15","Ashton Jeanty","RB","LVR",274,20.1,6.25,248,300,102,101,99.9,15,15,15,8,"3",11.5,68.6,16
"16","CeeDee Lamb","WR","DAL",312,21.1,7.12,280,334,101,88.5,92.3,17,20,20,3,"1",6.91,53.5,15
"17","Trey McBride","TE","ARI",254,8.47,25.1,243,264,101,99.4,91.1,16,16,21,2,"2",36.2,24.2,3
"18","Jalen Hurts","QB","PHI",398,13.8,20.9,381,417,95.9,107,82.6,18,13,25,5,"4",30.2,25.4,1
"19","Chase Brown","RB","CIN",268,24.3,2.97,235,297,95.4,88.7,96.8,19,19,17,9,"3",41.2,24.9,40
"20","Puka Nacua","WR","LAR",305,22.5,3.19,277,337,93.8,85.1,94.4,20,23,19,4,"1",14.6,40.7,29
"21","Bucky Irving","RB","TB",265,20.3,6.38,241,290,92.4,94.7,90,21,17,22,10,"4",36.4,23.5,21
"22","Malik Nabers","WR","NYG",302,32.8,4.07,268,351,90.6,76.1,109,22,28,11,5,"1",19.8,33.1,67
"23","Amon-Ra St. Brown","WR","DET",298,18.2,11,277,324,86.6,85.3,81.5,23,22,26,6,"2",13.9,49.4,12
"24","Kyren Williams","RB","LAR",259,20.9,4.13,234,285,86.1,87.6,84.6,24,21,23,11,"4",21.6,36.9,23
"25","Jonathan Taylor","RB","IND",255,28.2,1.53,227,296,81.9,80.7,95.8,25,26,18,12,"4",18.3,45.3,59
"26","Alvin Kamara","RB","NO",253,21.6,11.3,228,278,80.4,81.6,78,26,25,28,13,"4",43,23.4,33
"27","George Kittle","TE","SF",229,16.8,34.6,208,252,76.3,64.2,78.9,27,32,27,3,"3",42.6,20,20
"28","Nico Collins","WR","HOU",287,17.7,2.37,267,309,75.5,75,66.7,28,29,32,7,"2",18.8,36.6,11
"29","Baker Mayfield","QB","TB",377,17.7,0.516,355,399,75,80.5,65.3,29,27,33,6,"4",64.8,10.8,31
"30","Patrick Mahomes","QB","KC",376,15.7,15.3,357,398,74.5,82.2,63.6,30,24,34,7,"5",42.4,21.6,14
"31","Brian Thomas Jr.","WR","JAC",284,27.8,16.5,253,325,73.2,61.3,82.8,31,34,24,8,"3",31.1,26.8,50
"32","Breece Hall","RB","NYJ",242,24,0.47,217,277,69.1,70.7,76.9,32,31,29,14,"5",32.4,32.8,44
"33","James Cook","RB","BUF",241,21.6,6.86,219,270,68.6,72.5,69.3,33,30,31,15,"5",33.6,22.5,29
"34","Kenneth Walker III","RB","SEA",235,22.6,0.635,203,262,61.8,56.2,62,34,38,35,16,"5",41.4,21.7,36
"35","Chuba Hubbard","RB","CAR",234,23.1,7.16,208,261,61.1,61.5,60.1,35,33,36,17,"5",58.1,20.2,39
"36","Kyler Murray","QB","ARI",361,31.3,4.56,330,410,59.1,55.5,76.5,36,39,30,8,"5",74.6,10.6,57
"37","Drake London","WR","ATL",268,17.2,2.94,252,295,56.7,59.8,53.3,37,35,41,9,"3",24.6,32.4,8
"38","Bo Nix","QB","DEN",356,23.4,4.6,327,390,54.6,52.3,55.6,38,41,39,9,"5",75.3,11.6,40
"39","James Conner","RB","ARI",227,19.7,4.54,201,253,54,53.9,52.2,39,40,42,18,"5",51,19.9,17
"40","A.J. Brown","WR","PHI",265,19.9,1.36,241,294,53.7,49,51.7,40,43,43,10,"3",21.6,39.3,19
"41","Tyreek Hill","WR","MIA",263,12.3,1.58,250,282,52.4,58,39.7,41,37,50,11,"3",31.4,40.2,4
