"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","CAR",402,33.6,59.1,356,442,237,224,231,1,1,1,1,"1",1.23,69.4,11
"2","Dalvin Cook","RB","MIN",343,32.4,0.411,296,377,178,164,165,2,3,3,2,"1",2.54,61.6,16
"3","Alvin Kamara","RB","NO",343,36.4,37.8,291,389,177,159,177,3,4,2,3,"2",4.05,58.8,27
"4","Patrick Mahomes","QB","KC",467,27.6,25.6,443,509,150,175,152,4,2,5,1,"1",16.2,35.2,1
"5","Travis Kelce","TE","KC",303,30.6,33.8,258,340,146,125,165,5,8,4,1,"1",10,45.6,29
"6","Derrick Henry","RB","TEN",305,22.1,6.33,273,331,140,140,119,6,5,11,4,"3",3.74,57.1,9
"7","Austin Ekeler","RB","LAC",298,30.7,6.22,255,336,133,123,124,7,9,10,5,"3",11.9,46,33
"8","Saquon Barkley","RB","NYG",292,29.9,4.74,260,338,127,128,126,8,7,7,6,"3",11.5,48,30
"9","Josh Allen","QB","BUF",441,46.2,17,367,475,124,98.7,117,9,17,13,2,"1",27.1,26.9,18
"10","Ezekiel Elliott","RB","DAL",288,31.7,5.14,247,330,122,114,118,10,11,12,7,"3",6.69,53.6,24
"11","Davante Adams","WR","GB",341,27.6,10.8,296,371,121,104,125,11,15,8,1,"1",9.26,49.1,23
"12","Aaron Jones","RB","GB",282,21.5,14,247,304,117,115,92.7,12,10,19,8,"4",8.98,49.7,1
"13","Darren Waller","TE","LVR",269,32.8,21.3,221,303,112,87.8,128,13,25,6,2,"2",24.2,30.3,41
"14","Stefon Diggs","WR","BUF",330,32.6,5.27,289,370,110,97.5,124,14,20,9,2,"1",15.2,43.5,48
"15","Lamar Jackson","QB","BAL",424,15.3,4.83,400,438,107,132,80.8,15,6,24,3,"2",42.6,18.5,3
"16","Tyreek Hill","WR","KC",325,30.1,16.8,279,353,105,87.1,108,16,26,16,3,"2",11.6,47.5,35
"17","Jonathan Taylor","RB","IND",268,36.7,4.37,224,322,103,90.9,110,17,23,14,9,"4",10.5,48,49
"18","Kyler Murray","QB","ARI",419,35.1,7.79,366,461,102,98.4,103,18,18,18,4,"2",39.9,19.4,12
"19","Joe Mixon","RB","CIN",264,20.6,2.38,246,298,98.8,113,86.6,19,12,22,10,"4",20.3,36.9,7
"20","Nick Chubb","RB","CLE",262,27.5,1.32,228,301,96.4,95.5,88.7,20,21,20,11,"4",9.08,49.3,19
"21","Najee Harris","RB","PIT",260,23.3,6.32,234,291,95.1,101,79,21,16,26,12,"5",15.4,42.1,13
"22","Russell Wilson","QB","SEA",412,22.4,2.83,381,440,94.3,113,82,22,13,23,5,"2",56.7,14.1,6
"23","Aaron Rodgers","QB","GB",409,32.6,2.99,359,437,91.4,91.4,79.5,23,22,25,6,"2",53.4,13.3,26
"24","George Kittle","TE","SF",248,23.6,47,222,284,90.5,88.9,108,24,24,15,3,"3",28.9,25.3,18
"25","Antonio Gibson","RB","WAS",254,34,2.48,204,291,88.8,71.2,78.7,25,37,27,13,"5",17.8,42.3,40
"26","Justin Herbert","QB","LAC",406,22.4,4.26,373,428,88.5,105,70.6,26,14,31,7,"2",57.9,11.6,9
"27","DeAndre Hopkins","WR","ARI",308,29.1,5.36,274,350,87.9,82.5,104,27,31,17,4,"2",19.9,38,32
"28","D'Andre Swift","RB","DET",251,28.3,4.94,217,285,86.3,84.1,73.2,28,30,29,14,"5",39.3,19.7,44
"29","Dak Prescott","QB","DAL",402,22.7,8.34,366,428,84.2,98.2,70.7,29,19,30,8,"3",53.4,14.1,15
"30","Calvin Ridley","WR","ATL",302,29.9,14.1,257,334,82.6,65.9,88.3,30,39,21,5,"3",20.3,37.1,39
"31","Clyde Edwards-Helaire","RB","KC",247,23.1,4.42,218,279,81.4,85.2,67.2,31,27,33,15,"5",24.4,33.7,10
"32","David Montgomery","RB","CHI",242,27.4,3.11,206,279,76.9,73.7,66.8,32,33,35,16,"5",31.1,26.6,23
"33","Tom Brady","QB","TB",393,29,21,344,419,75.9,75.9,61.8,33,32,36,9,"4",66.1,9.25,35
"34","James Robinson","RB","JAC",239,14.7,0.976,217,254,73.8,84.3,42,34,28,48,17,"5",40.2,22.2,6
"35","Chris Carson","RB","SEA",238,20.1,0.903,217,270,72.8,84.3,58.2,35,29,39,18,"6",33.6,26.6,3
"36","Miles Sanders","RB","PHI",237,27.9,12,195,271,71.9,62.4,58.8,36,42,38,19,"6",43.5,19.3,29
"37","Justin Jefferson","WR","MIN",288,19.9,3.88,264,315,68.5,72.9,69.7,37,34,32,6,"3",24.5,32.6,8
"38","DK Metcalf","WR","SEA",284,22.3,4.84,253,307,64.6,61.6,61.6,38,43,37,7,"3",20.9,34.7,17
"39","Mike Davis","RB","ATL",225,15.1,2.63,205,246,59.9,72.4,34.1,39,35,52,20,"6",51.7,13.7,1
"40","Keenan Allen","WR","LAC",280,31.1,12.6,238,319,59.7,46.8,73.7,40,52,28,8,"4",30.8,26.5,51
"41","Josh Jacobs","RB","LVR",223,26.8,4.36,186,256,57.3,53.1,43.7,41,49,46,21,"6",37.4,18.3,21
"42","Ryan Tannehill","QB","TEN",372,27.8,11.3,331,405,54.9,63.4,47.7,42,41,43,10,"4",90.4,7.47,24
"43","Myles Gaskin","RB","MIA",218,23.4,1.86,193,253,53,60,41.7,43,44,49,22,"6",52.3,13.3,34
"44","Chase Edmonds","RB","ARI",216,14.2,26.8,198,236,51.1,65.1,23.9,44,40,63,23,"7",70.6,10.6,4
"45","A.J. Brown","WR","TEN",267,24.4,3.19,238,301,47.1,46,54.9,45,53,41,9,"4",26.1,30.3,31
"46","Allen Robinson","WR","CHI",264,15.4,5.97,247,288,43.9,55.7,42.8,46,45,47,10,"4",34.7,24.2,1
"47","Kirk Cousins","QB","MIN",361,16.1,6.9,340,384,43.6,72,26,47,36,60,11,"5",138,3.58,41
"48","Mark Andrews","TE","BAL",201,14,7.86,186,222,43.5,53.3,47.2,48,48,44,4,"4",51,12.7,3
"49","Terry McLaurin","WR","WAS",258,28.4,1.85,218,287,38,26.1,41,49,70,50,11,"4",32.5,26.1,37
"50","Matthew Stafford","QB","LAR",354,26.5,1.42,322,388,36.6,53.9,30.4,50,47,56,12,"5",87.3,7.94,21
"51","Robert Woods","WR","LAR",256,17.6,1.03,231,277,36.1,39.6,31.6,51,59,54,12,"4",41.6,16.2,13
"52","T.J. Hockenson","TE","DET",193,12.6,15.3,177,207,35.6,43.9,31.9,52,55,53,5,"5",58.5,11.4,1
"53","Jalen Hurts","QB","PHI",353,20.9,7.66,323,380,35.2,55.1,22.6,53,46,64,13,"5",92.7,7.59,29
"54","CeeDee Lamb","WR","DAL",255,32.8,1.58,211,301,35.1,19.6,55.4,54,76,40,13,"4",34.7,24.5,59
"55","Amari Cooper","WR","DAL",253,13.7,3.55,236,272,33.5,44.7,26.1,55,54,59,14,"5",44.6,15.5,3
"56","Chris Godwin","WR","TB",250,23.4,1.28,215,274,30,23.8,28.9,56,71,57,15,"5",43.9,17.1,28
"57","Diontae Johnson","WR","PIT",248,19.7,0.665,232,282,28.7,40.6,35.9,57,58,51,16,"5",59,11,24
"58","Tyler Lockett","WR","SEA",248,15.3,0.547,227,266,28,35,20.7,58,61,66,17,"5",52.5,12.8,10
"59","Ben Roethlisberger","QB","PIT",345,26.9,1.37,319,379,27.6,51.1,21.9,59,50,65,14,"5",143,3.84,62
"60","Julio Jones","WR","TEN",247,23.7,0.121,214,277,27.5,22.2,31.6,60,74,55,18,"5",48.8,13.1,41
"61","Mike Evans","WR","TB",247,19.9,0.264,220,270,27.4,28.2,24.1,61,67,62,19,"5",39.4,17.9,18
"62","Cooper Kupp","WR","LAR",247,15.1,7.57,225,265,27.1,33.2,19,62,64,70,20,"5",49.6,14.8,7
"63","Matt Ryan","QB","ATL",344,18.4,2.01,316,365,26.2,48.5,7.59,63,51,79,15,"5",128,3.88,38
"64","Kareem Hunt","RB","CLE",189,28.7,1.43,149,223,24.3,15.8,11.1,64,78,75,24,"7",59.9,10.9,36
"65","Joe Burrow","QB","CIN",342,21.3,2.38,311,365,24.2,43.1,7.16,65,56,80,16,"5",111,4.86,32
"66","Darrell Henderson","RB","LAR",188,21.8,3.35,156,212,22.8,23.6,0.202,66,72,92,25,"7",59.7,14.9,26
"67","Trevor Lawrence","QB","JAC",339,28.7,4.87,301,376,21.8,33.4,18.8,67,63,71,17,"6",122,3.73,50
"68","Logan Thomas","TE","WAS",178,15.1,3.26,166,200,20.4,33.1,25.2,68,65,61,6,"5",81.3,5.86,21
"69","Damien Harris","RB","NE",185,16.5,1.52,162,206,19.5,29.5,-5.95,70,66,107,26,"7",69.6,10.9,14
"70","Adam Thielen","WR","MIN",239,8.1,6.79,230,249,19.5,38.2,3.49,69,60,88,21,"5",55.1,11.8,1
"71","Gus Edwards","RB","BAL",183,30.3,1.97,133,206,18,0,-5.61,71,93,106,27,"7",66.2,15.5,59
"72","Kyle Pitts","TE","ATL",174,51.8,8.6,95.5,222,17.1,-37.3,47.2,72,133,45,7,"6",48.5,14.6,85
"73","Baker Mayfield","QB","CLE",334,24.3,0.23,310,375,16.9,42,17,73,57,72,18,"6",136,3.64,53
"74","Drew Brees","QB","FA",334,NA,3.05,334,334,16.7,66.2,-23.4,74,38,129,19,"6",NA,NA,NA
"75","Raheem Mostert","RB","SF",181,21.8,9.7,160,214,16,26.9,2.64,75,68,89,28,"8",69,8.52,39
"76","Derek Carr","QB","LVR",331,26.3,6.59,303,368,13.7,34.6,10.5,76,62,76,20,"6",147,2.87,65
"77","D.J. Moore","WR","CAR",233,12.3,3.37,214,245,12.7,22.7,-0.516,77,73,94,22,"6",59.4,11.4,4
"78","Tee Higgins","WR","CIN",229,20.2,1.47,198,249,9.35,6.8,3.86,78,88,86,23,"6",74.2,7.54,30
"79","Noah Fant","TE","DEN",166,14,3.72,145,181,8.54,12.2,5.43,79,82,84,8,"6",92.8,3.67,6
"80","JuJu Smith-Schuster","WR","PIT",228,13.5,2.11,213,243,7.88,21.1,-2.71,80,75,98,24,"6",81,4.59,15
"81","Tua Tagovailoa","QB","MIA",325,25.3,1.23,294,356,7.08,26.5,-2.03,81,69,95,21,"6",145,2.56,59
"82","Melvin Gordon","RB","DEN",171,41.1,6.29,118,229,6.29,-14.6,16.8,82,107,73,29,"8",83.9,5.7,67
"83","Ryan Fitzpatrick","QB","WAS",323,40.9,1.82,268,377,5.85,0,19.5,83,93,67,22,"6",160,5.04,74
"84","Odell Beckham","WR","CLE",226,14.8,0.523,208,247,5.77,16.5,1.62,84,77,90,25,"6",77.4,6.76,21
"85","Brandon Aiyuk","WR","SF",225,17.5,0.46,203,246,5.25,11.9,0,85,83,93,26,"6",64.6,8.9,20
"86","Tyler Higbee","TE","LAR",162,12.9,1.4,147,181,4.82,13.8,6.17,86,80,83,9,"6",107,3.34,24
"87","Kenny Golladay","WR","NYG",225,25.1,3.76,191,258,4.79,-0.736,12.2,87,95,74,27,"6",85.6,5.26,58
"88","Jameis Winston","QB","NO",321,51.1,4.03,252,386,4.03,-16.1,28.1,88,111,58,23,"6",144,3.22,82
"89","Dallas Goedert","TE","PHI",161,15.2,1.36,144,183,3.42,10.8,7.62,89,84,78,10,"6",102,2.66,26
"90","Robert Tonyan","TE","GB",159,12.1,2.07,140,170,2.07,7.51,-4.85,90,87,102,11,"6",90.4,3.96,9
"91","Michael Thomas","WR","NO",221,48.9,0.489,171,300,1.03,-20.6,54.2,91,117,42,28,"6",91.1,7.12,99
"92","Brandin Cooks","WR","HOU",220,27.8,0.538,195,265,0.538,3.88,19.5,92,91,68,29,"6",107,2.84,63
"93","Carson Wentz","QB","IND",317,29.4,5.78,276,352,0,8.44,-5.52,93,86,105,24,"7",167,4.26,76
"94","Javonte Williams","RB","DEN",165,38.5,5.93,106,203,0,-27.1,-8.65,93,122,109,30,"8",68.3,10.5,63
"95","Deebo Samuel","WR","SF",220,19.5,3.46,196,246,0,4.4,0.598,93,90,91,30,"6",99,4.04,46
"96","Mike Gesicki","TE","MIA",157,12,7.85,143,175,0,9.94,0,93,85,93,12,"7",114,2.1,12
"97","Chase Claypool","WR","PIT",216,30.7,3.1,174,254,-3.46,-17.2,8.87,94,113,77,31,"6",71.4,6.16,65
"98","Daniel Jones","QB","NYG",312,21.2,4.59,283,334,-5.78,14.7,-23.1,95,79,128,25,"7",199,3.04,56
"99","Leonard Fournette","RB","TB",159,37.2,1.7,136,218,-5.93,3.4,6.44,96,92,82,31,"8",94.4,3.38,69
"100","Robby Anderson","WR","CAR",213,7.52,2.31,204,224,-6.57,12.6,-22,97,81,125,32,"6",86.8,5.14,6
"101","J.D. McKissic","RB","WAS",158,15.9,5.54,139,180,-7.63,6.29,-32,98,89,146,32,"9",130,2.27,43
"102","Evan Engram","TE","NYG",150,14.8,2.95,133,170,-7.85,-0.0162,-5.22,99,94,104,13,"7",151,1.31,38
"103","Courtland Sutton","WR","DEN",211,20.4,0.00636,185,239,-8.88,-6.65,-6.52,100,102,108,33,"6",87.5,4.58,34
"104","Tyler Boyd","WR","CIN",211,13,2.9,192,225,-8.89,0,-21,101,93,124,34,"7",100,3.66,11
"105","Zach Wilson","QB","NYJ",307,40,11.3,247,353,-10.4,-20.9,-4.57,102,118,100,26,"7",158,2.48,71
"106","Jared Cook","TE","LAC",147,13.5,2.09,130,166,-10.8,-2.53,-9.1,103,98,110,14,"7",141,1.13,44
"107","Jarvis Landry","WR","CLE",208,18.9,0.734,183,234,-11.8,-8.09,-11.9,104,103,113,35,"7",118,2.38,44
"108","Marvin Jones","WR","JAC",207,28.8,0.644,176,249,-12.5,-15.7,3.71,105,110,87,36,"7",126,1.8,69
"109","Jonnu Smith","TE","NE",144,11.4,5.32,128,158,-12.9,-4.95,-17.6,106,100,121,15,"8",126,1.6,15
"110","Ronald Jones","RB","TB",152,33.1,4.11,130,208,-13.2,-2.41,-3.53,107,97,99,33,"9",91,5.16,60
"111","Jerry Jeudy","WR","DEN",207,32,1.49,161,243,-13.2,-30.3,-2.4,108,127,96,37,"7",77.4,7.26,73
"112","Ja'Marr Chase","WR","CIN",205,20.3,0.464,175,226,-14.7,-16.9,-19.2,109,112,122,38,"7",85.5,3.92,49
"113","Corey Davis","WR","NYJ",205,30.1,2.66,165,241,-15.1,-26.3,-4.67,110,121,101,39,"7",108,4.2,75
"114","Kenyan Drake","RB","LVR",148,43.9,3.85,98,212,-17.3,-34.7,0,111,131,93,34,"9",114,2.78,74
"115","Michael Gallup","WR","DAL",202,10.6,2.82,187,214,-17.8,-4.38,-31.6,112,99,144,40,"7",128,1.6,14
"116","Zach Ertz","TE","PHI",139,41,0.0411,82.9,194,-18.2,-49.9,19.1,113,155,69,16,"8",143,1.19,94
"117","Austin Hooper","TE","CLE",139,13.9,1.18,118,156,-18.2,-14.7,-19.8,114,108,123,17,"8",156,1.35,35
"118","Hunter Henry","TE","NE",138,35,0.514,86,173,-19.4,-46.8,-2.44,115,150,97,18,"8",138,1.28,76
"119","Anthony Firkser","TE","TEN",137,10.4,1.17,127,153,-19.9,-5.69,-22.3,116,101,126,19,"8",195,1.25,47
