"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"62","John Bates (WAS)","14","22","108","7.7","20","1","1","0","0","0","0","10","30.8","3.1","0.6%"
"63","Teagan Quitoriano (ATL)","7","14","113","16.1","52","2","2","0","0","0","0","7","30.3","4.3","0.0%"
"64","Jody Fortson Jr. (FA)","9","13","108","12.0","40","2","2","0","0","0","1","10","29.8","3.0","0.0%"
"65","Donald Parham Jr. (PIT)","10","12","130","13.0","24","2","1","0","0","0","0","6","29.0","4.8","1.0%"
"66","Eric Tomlinson (FA)","9","13","79","8.8","18","0","2","0","0","0","0","9","28.9","3.2","0.0%"
"67","James Mitchell (CAR)","11","11","113","10.3","22","2","1","0","0","0","0","8","28.3","3.5","0.0%"
"68","Brevin Jordan (HOU)","14","28","128","9.1","20","2","0","0","0","0","0","9","26.8","3.0","1.0%"
"69","Marcedes Lewis (FA)","6","7","66","11.0","31","1","2","0","0","0","0","6","26.6","4.4","0.0%"
"70","Albert Okwuegbunam Jr. (LV)","10","18","95","9.5","25","1","1","0","0","0","0","6","25.5","4.3","0.0%"
"71","Josiah Deguara (ARI)","13","15","114","8.8","25","1","0","0","0","0","0","9","24.4","2.7","0.0%"
"72","Geoff Swaim (FA)","12","16","58","4.8","13","0","1","0","0","0","0","12","23.8","2.0","0.0%"
"73","Pharaoh Brown (MIA)","12","20","117","9.8","30","1","0","0","0","0","0","9","23.7","2.6","0.1%"
"74","Jack Stoll (NO)","11","14","123","11.2","26","2","0","0","0","0","0","10","23.3","2.3","0.0%"
"75","Tanner Hudson (CIN)","10","15","132","13.2","27","1","0","0","0","0","0","6","23.2","3.9","1.2%"
"76","Dan Arnold (FA)","9","13","135","15.0","26","3","0","0","0","0","0","11","22.5","2.0","0.0%"
"77","Ko Kieft (TB)","7","10","80","11.4","19","0","1","0","0","0","0","15","21.0","1.4","0.0%"
"78","Quintin Morris (JAC)","8","11","84","10.5","26","1","1","0","0","0","1","9","20.4","2.3","1.4%"
"79","Chris Myarick (MIA)","7","8","65","9.3","23","1","1","0","0","0","0","10","19.5","2.0","0.0%"
"80","Ross Dwelley (SF)","3","5","105","35.0","56","2","1","0","0","0","0","6","19.5","3.3","0.0%"
"81","Anthony Firkser (FA)","9","13","100","11.1","22","1","0","0","0","0","0","8","19.0","2.4","0.0%"
"82","Giovanni Ricci (MIN)","8","9","100","12.5","32","1","0","0","0","0","0","11","18.0","1.6","0.0%"
"83","Parker Hesse (FA)","9","11","89","9.9","22","1","0","0","0","0","0","12","17.9","1.5","0.0%"
"84","Brycen Hopkins (FA)","7","11","109","15.6","22","2","0","0","0","0","0","7","17.9","2.6","0.0%"
"85","Tre' McKitty (HOU)","10","18","72","7.2","12","0","0","0","0","0","0","13","17.2","1.3","0.0%"
"86","Armani Rogers (FA)","5","6","64","12.8","23","1","0","2","26","0","0","9","14.0","1.6","1.0%"
"87","Grant Calcaterra (PHI)","5","9","81","16.2","40","1","0","0","0","0","0","7","13.1","1.9","1.1%"
"88","Andrew Beck (NYJ)","5","11","69","13.8","27","2","0","2","0","0","0","9","11.9","1.3","0.0%"
"89","Kyle Rudolph (FA)","3","5","28","9.3","12","0","1","0","0","0","0","5","11.8","2.4","1.0%"
"90","Nick Vannett (MIN)","6","9","55","9.2","15","0","0","0","0","0","0","7","11.5","1.6","0.0%"
"91","Chris Manhertz (NYG)","6","8","42","7.0","21","1","0","0","0","0","0","8","10.2","1.3","0.0%"
"92","Blake Bell (FA)","2","2","20","10.0","17","0","1","0","0","0","0","2","10.0","5.0","0.0%"
"93","Tyler Kroft (FA)","4","5","57","14.3","28","1","0","0","0","0","0","6","9.7","1.6","0.0%"
"94","Charlie Kolar (BAL)","4","6","49","12.3","15","0","0","0","0","0","0","1","8.9","8.9","0.1%"
"95","Luke Farrell (SF)","4","4","40","10.0","15","0","0","0","0","0","0","4","8.0","2.0","0.6%"
"96","Tyler Mabry (CAR)","1","1","7","7.0","7","0","1","0","0","0","0","1","7.7","7.7","0.0%"
"97","Trevon Wesco (FA)","2","4","26","13.0","23","1","0","0","0","0","0","6","6.6","1.1","0.0%"
"98","Stephen Sullivan (FA)","2","6","46","23.0","33","1","0","0","0","0","0","9","6.6","0.7","0.0%"
"99","Tyler Davis (FA)","4","7","26","6.5","23","1","0","0","0","0","0","11","6.6","0.6","0.0%"
"100","Ryan Griffin (FA)","4","8","26","6.5","18","0","0","0","0","0","0","10","6.6","0.7","0.0%"
"101","Stone Smartt (NYJ)","4","5","17","4.3","8","0","0","0","0","0","0","3","5.7","1.9","1.2%"
"102","Ben Ellefson (FA)","3","3","26","8.7","12","0","0","0","0","0","0","2","5.6","2.8","0.0%"
"103","Kendall Blanton (FA)","2","2","35","17.5","28","1","0","0","0","0","0","2","5.5","2.8","0.0%"
"104","Jesper Horsted (FA)","3","4","19","6.3","9","0","0","0","0","0","0","5","4.9","1.0","0.0%"
