"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"245","Allen Hurns (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"246","John Brown (FA)","0","3","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"247","Matthew Slater (FA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"248","River Cracraft (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"249","Vyncint Smith (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"250","Daurice Fountain (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"251","Damion Ratley (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"252","JoJo Natson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"253","Justin Hardee Sr. (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"254","Ryan Switzer (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"255","David Moore (CAR)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.8%"
"256","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"257","Cody Thompson (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"258","Nsimba Webster (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"259","Jordan Veasy (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"260","Devin Smith (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"261","Ty Montgomery II (FA)","16","26","95","5.9","21","1","0","15","44","0","0","14","0.0","0.0","0.0%"
"262","Rodney Adams (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"263","Geronimo Allison (FA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"264","Alex Bachman (LV)","0","0","0","0","0","0","0","1","-3","0","0","2","-0.3","-0.2","0.0%"
"265","Travis Benjamin (FA)","0","5","0","0","0","0","0","0","0","0","1","5","-2.0","-0.4","1.0%"
"266","J.J. Koski (FA)","0","0","0","0","0","0","0","0","0","0","1","3","-2.0","-0.7","0.0%"
"267","Diontae Spencer (FA)","1","4","-3","-3.0","0","0","0","0","0","0","2","15","-3.3","-0.2","0.0%"
""
""
