"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"57","Byron Pringle (FA)","42","60","568","13.5","40","11","5","0","0","0","1","16","126.8","7.9","0.0%"
"58","Gabe Davis (FA)","35","63","549","15.7","49","13","6","0","0","0","0","15","125.9","8.4","3.3%"
"59","Braxton Berrios (HOU)","46","65","431","9.4","46","5","2","7","40","2","1","16","121.1","7.6","0.6%"
"60","Antonio Brown (FA)","42","62","545","13.0","62","10","4","1","6","0","0","7","121.1","17.3","1.0%"
"61","Quez Watkins (ARI)","43","62","647","15.0","91","12","1","1","3","0","0","17","116.0","6.8","0.0%"
"62","Deonte Harty (FA)","36","59","570","15.8","72","5","3","5","41","0","1","13","113.1","8.7","0.0%"
"63","Donovan Peoples-Jones (NO)","34","58","597","17.6","60","12","3","0","0","0","1","14","109.7","7.8","0.0%"
"64","Jamison Crowder (FA)","51","71","447","8.8","29","3","2","0","0","0","1","12","109.7","9.1","1.0%"
"65","Rondale Moore (MIN)","54","64","435","8.1","77","3","1","18","76","0","1","14","109.1","7.8","0.7%"
"66","Bryan Edwards (FA)","34","59","571","16.8","51","11","3","1","0","0","0","16","109.1","6.8","0.0%"
"67","Nick Westbrook-Ikhine (MIA)","38","57","476","12.5","46","5","4","0","0","0","1","15","107.6","7.2","2.9%"
"68","Zay Jones (ARI)","47","70","546","11.6","43","8","1","2","3","0","1","15","105.9","7.1","1.0%"
"69","Corey Davis (FA)","34","59","492","14.5","53","9","4","0","0","0","1","9","105.2","11.7","0.0%"
"70","Rashod Bateman (BAL)","46","68","515","11.2","36","8","1","0","0","0","0","12","103.5","8.6","31.7%"
"71","DeVante Parker (FA)","40","73","515","12.9","42","7","2","0","0","0","0","10","103.5","10.4","0.0%"
"72","Nelson Agholor (FA)","37","64","473","12.8","44","9","3","3","11","0","0","15","103.4","6.9","1.0%"
"73","Jalen Guyton (FA)","31","48","448","14.5","59","4","3","7","34","0","0","16","97.2","6.1","0.0%"
"74","Zach Pascal (NYG)","38","69","384","10.1","41","5","3","2","21","0","1","16","94.5","5.9","0.0%"
"75","Randall Cobb (FA)","28","39","375","13.4","54","6","5","1","1","0","1","11","93.6","8.5","1.1%"
"76","Joshua Palmer (BUF)","33","49","353","10.7","36","3","4","1","6","0","0","15","92.9","6.2","16.9%"
"77","Michael Gallup (WAS)","35","62","445","12.7","41","6","2","0","0","0","0","9","91.5","10.2","0.6%"
"78","Olamide Zaccheaus (CHI)","31","53","406","13.1","49","4","3","1","2","0","0","15","89.8","6.0","0.9%"
"79","Kenny Golladay (FA)","37","76","521","14.1","36","5","0","0","0","0","0","14","89.1","6.4","4.0%"
"80","Tre'Quan Smith (FA)","32","50","377","11.8","34","6","3","0","0","0","0","10","87.7","8.8","0.0%"
"81","Allen Robinson II (FA)","38","66","410","10.8","39","5","1","0","0","0","0","12","87.0","7.3","1.4%"
"82","Marquez Valdes-Scantling (SEA)","26","55","430","16.5","75","8","3","0","0","0","0","11","87.0","7.9","3.7%"
"83","Freddie Swain (FA)","25","40","343","13.7","68","6","4","5","32","0","0","17","86.5","5.1","0.0%"
"84","DeAndre Carter (CLE)","24","44","296","12.3","26","5","3","10","89","0","0","17","86.5","5.1","0.0%"
"85","Jerry Jeudy (CLE)","38","56","467","12.3","40","7","0","2","3","0","0","10","85.0","8.5","87.5%"
"86","Henry Ruggs III (FA)","24","36","469","19.5","61","9","2","3","16","0","0","7","84.5","12.1","8.4%"
"87","Nico Collins (HOU)","33","60","446","13.5","32","8","1","0","0","0","0","14","83.6","6.0","99.5%"
"88","Kadarius Toney (FA)","39","57","420","10.8","38","5","0","3","6","0","0","9","82.4","9.2","0.6%"
"89","Laquon Treadwell (IND)","33","51","434","13.2","41","6","1","0","0","0","0","12","82.4","6.9","0.0%"
"90","Jauan Jennings (SF)","24","38","282","11.8","34","4","5","0","0","0","0","13","82.2","6.3","79.8%"
"91","Josh Reynolds (NYJ)","29","49","396","13.7","39","6","2","0","0","0","0","11","80.6","7.3","2.6%"
"92","Julio Jones (FA)","31","48","434","14.0","51","4","1","0","0","0","0","10","80.4","8.0","0.6%"
"93","Adam Humphries (FA)","41","62","383","9.3","27","4","0","0","0","0","0","17","79.3","4.7","0.0%"
"94","Keelan Cole Sr. (FA)","28","51","449","16.0","54","7","1","0","0","0","0","14","78.9","5.6","0.0%"
"95","Jalen Reagor (LAC)","33","57","299","9.1","34","4","2","10","32","0","0","17","78.1","4.6","0.0%"
"96","Sterling Shepard (TB)","36","53","366","10.2","37","4","1","1","-9","0","0","7","77.7","11.1","1.0%"
"97","Devin Duvernay (CHI)","33","47","272","8.2","21","1","2","7","50","0","0","16","77.2","4.8","0.6%"
"98","Jamal Agnew (ATL)","24","39","229","9.5","29","4","1","7","111","1","0","12","76.0","6.3","0.0%"
"99","DeSean Jackson (FA)","20","34","454","22.7","75","6","2","1","4","0","1","14","75.8","5.4","0.6%"
"100","T.Y. Hilton (FA)","23","37","331","14.4","52","4","3","0","0","0","0","10","74.1","7.4","1.6%"
"101","Tyler Johnson (NYJ)","36","55","360","10.0","31","4","0","0","0","0","0","16","72.0","4.5","1.1%"
"102","Calvin Ridley (TEN)","31","52","281","9.1","22","3","2","0","0","0","0","5","71.1","14.2","87.8%"
"103","Sammy Watkins (FA)","27","49","394","14.6","49","6","1","0","0","0","1","11","70.4","6.4","0.0%"
"104","Demarcus Robinson (SF)","25","41","264","10.6","33","3","3","0","0","0","0","15","69.4","4.6","2.8%"
"105","Danny Amendola (FA)","24","38","248","10.3","39","4","3","0","0","0","0","8","68.8","8.6","0.0%"
"106","Darius Slayton (NYG)","26","58","339","13.0","42","4","2","1","-13","0","1","13","68.6","5.3","7.2%"
"107","Ray-Ray McCloud III (ATL)","39","66","277","7.1","24","2","0","2","15","0","1","16","66.2","4.1","2.8%"
"108","James Washington (FA)","24","44","285","11.9","42","4","2","2","13","0","0","15","65.8","4.4","0.0%"
"109","Chester Rogers (FA)","30","43","301","10.0","39","3","1","1","9","0","1","16","65.0","4.1","0.0%"
"110","Damiere Byrd (FA)","26","38","329","12.7","54","3","1","0","0","0","1","11","64.9","5.9","0.0%"
"111","Chris Conley (FA)","22","37","323","14.7","41","5","2","1","3","0","1","14","64.6","4.6","0.0%"
"112","Mack Hollins (NE)","14","28","223","15.9","65","4","4","0","0","0","0","16","60.3","3.8","1.7%"
"113","Antoine Wesley (FA)","19","32","208","10.9","33","4","3","0","0","0","0","8","57.8","7.2","0.0%"
"114","Rashard Higgins (FA)","24","47","275","11.5","21","1","1","0","0","0","0","12","57.5","4.8","0.0%"
"115","Marquise Goodwin (FA)","20","40","313","15.7","50","5","1","2","-1","0","0","14","57.2","4.1","0.0%"
"116","Chris Moore (WAS)","21","22","227","10.8","67","4","2","0","0","0","0","10","55.7","5.6","0.0%"
"117","Isaiah McKenzie (FA)","20","26","178","8.9","28","1","1","9","47","1","1","15","52.5","3.5","0.0%"
"118","Tavon Austin (FA)","24","38","213","8.9","25","2","1","3","21","0","1","12","51.4","4.3","0.6%"
"119","Lil'Jordan Humphrey (NYG)","13","18","249","19.2","56","6","2","0","0","0","0","8","49.9","6.2","0.7%"
"120","Quintez Cephus (HOU)","15","22","204","13.6","46","5","2","0","0","0","0","5","49.4","9.9","0.0%"
"121","Brandon Zylstra (FA)","18","25","250","13.9","55","4","1","0","0","0","0","12","49.0","4.1","0.0%"
"122","Cam Sims (FA)","15","23","211","14.1","43","2","2","1","7","0","0","12","48.8","4.1","0.0%"
"123","Tajae Sharpe (FA)","25","37","230","9.2","17","0","0","0","0","0","0","14","48.0","3.4","0.0%"
"124","Albert Wilson (FA)","25","39","213","8.5","64","1","0","4","17","0","0","10","48.0","4.8","0.0%"
"125","Ashton Dulin (IND)","13","22","173","13.3","62","2","2","3","32","0","0","16","45.5","2.8","0.1%"
"126","Malik Turner (SF)","12","16","149","12.4","61","1","3","0","0","0","0","7","44.9","6.4","0.0%"
"127","Cyril Grayson Jr. (FA)","10","12","212","21.2","62","4","2","1","14","0","0","3","44.6","14.9","0.0%"
"128","John Ross (FA)","11","20","224","20.4","51","2","1","1","16","0","0","9","41.0","4.6","0.0%"
"129","Isaiah Ford (FA)","12","16","161","13.4","52","2","2","0","0","0","0","9","40.1","4.5","0.0%"
"130","Jakeem Grant Sr. (FA)","11","17","132","12.0","46","2","2","5","33","0","3","15","39.5","2.6","0.0%"
"131","Kendall Hinton (FA)","15","23","175","11.7","40","2","1","0","0","0","0","11","38.5","3.5","0.0%"
"132","James Proche II (TEN)","16","20","202","12.6","32","2","0","0","0","0","0","7","36.2","5.2","0.0%"
"133","JuJu Smith-Schuster (KC)","15","28","129","8.6","24","1","0","3","9","1","0","5","34.8","7.0","1.5%"
"134","Greg Ward (FA)","7","11","95","13.6","27","1","3","0","0","0","0","10","34.6","3.5","0.0%"
"135","Noah Brown (WAS)","16","25","184","11.5","27","3","0","0","0","0","0","10","34.4","3.4","2.1%"
"136","DJ Chark Jr. (ATL)","7","22","154","22.0","41","3","2","0","0","0","0","3","34.4","11.5","0.7%"
"137","Breshad Perriman (FA)","11","18","167","15.2","58","3","1","1","-3","0","0","5","33.4","6.7","0.0%"
"138","Anthony Schwartz (FA)","10","23","135","13.5","44","1","1","6","39","0","0","13","33.4","2.6","0.0%"
"139","Terrace Marshall Jr. (PHI)","17","30","138","8.1","23","1","0","0","0","0","0","12","32.8","2.7","0.6%"
"140","Mohamed Sanu Sr. (FA)","15","24","177","11.8","21","1","0","0","0","0","0","8","32.7","4.1","0.0%"
"141","Parris Campbell (FA)","10","20","162","16.2","51","3","1","0","0","0","0","6","32.2","5.4","0.1%"
"142","KhaDarel Hodge (ATL)","13","27","157","12.1","42","2","0","0","0","0","0","12","30.7","2.6","0.7%"
"143","Ihmir Smith-Marsette (NYG)","5","6","116","23.2","44","2","2","0","0","0","0","6","28.6","4.8","0.6%"
"144","N'Keal Harry (FA)","12","22","184","15.3","43","3","0","0","0","0","1","10","28.4","2.8","0.0%"
"145","Dee Eskridge (MIA)","10","20","64","6.4","17","0","1","4","59","0","0","8","28.3","3.5","0.0%"
"146","Dyami Brown (JAC)","12","25","165","13.8","48","3","0","1","-4","0","0","10","28.1","2.8","7.6%"
"147","Dante Pettis (NO)","10","16","87","8.7","27","1","1","0","0","0","0","3","25.3","8.4","0.6%"
"148","Marcus Johnson (FA)","9","19","160","17.8","50","3","0","2","-2","0","0","7","24.8","3.5","0.0%"
"149","Ben Skowronek (PIT)","11","20","133","12.1","35","2","0","0","0","0","0","12","24.3","2.0","0.0%"
"150","Trent Sherfield Sr. (DEN)","9","20","87","9.7","18","0","1","0","0","0","0","12","23.7","2.0","0.1%"
"151","Collin Johnson (LV)","11","21","105","9.5","16","0","0","0","0","0","0","8","21.5","2.7","0.0%"
"152","Denzel Mims (FA)","8","23","133","16.6","40","3","0","0","0","0","0","10","21.3","2.1","0.0%"
"153","Trinity Benson (FA)","10","22","103","10.3","24","2","0","0","0","0","0","7","20.3","2.9","0.0%"
"154","Kristian Wilkerson (BUF)","4","8","42","10.5","20","1","2","0","0","0","0","1","20.2","20.2","1.0%"
"155","Equanimeous St. Brown (SF)","9","17","98","10.9","26","1","0","3","14","0","0","12","20.2","1.7","0.1%"
"156","Jeff Smith (FA)","8","17","113","14.1","35","1","0","1","-1","0","0","9","19.2","2.1","0.0%"
"157","Scotty Miller (PIT)","5","9","38","7.6","13","0","0","2","43","1","0","6","19.1","3.2","0.1%"
"158","Kenny Stills (FA)","6","23","68","11.3","22","1","1","1","1","0","0","7","18.9","2.7","0.0%"
"159","Tom Kennedy (DET)","6","10","54","9.0","15","0","0","0","0","0","0","7","18.4","2.6","0.1%"
"160","Phillip Dorsett II (LV)","7","14","110","15.7","36","2","0","1","0","0","0","5","18.0","3.6","0.0%"
"161","Dede Westbrook (FA)","10","15","68","6.8","17","0","0","0","0","0","0","15","16.8","1.1","0.0%"
"162","Shi Smith (FA)","6","11","104","17.3","63","1","0","1","-3","0","0","5","16.1","3.2","0.0%"
"163","Dez Fitzpatrick (LAC)","5","8","49","9.8","18","0","1","0","0","0","0","3","15.9","5.3","0.0%"
"164","Dax Milne (FA)","9","14","83","9.2","22","1","0","1","1","0","1","9","15.4","1.7","0.0%"
"165","Anthony Miller (BAL)","6","12","25","4.2","10","0","1","0","0","0","0","3","14.5","4.8","0.0%"
"166","Josh Gordon (FA)","5","14","32","6.4","11","0","1","0","0","0","0","9","14.2","1.6","0.1%"
"167","Chris Hogan (FA)","4","8","41","10.3","16","0","1","0","0","0","0","5","14.1","2.8","0.0%"
"168","Preston Williams (FA)","6","16","71","11.8","34","2","0","1","7","0","0","6","13.8","2.3","0.0%"
"169","Auden Tate (FA)","3","4","39","13.0","18","0","1","0","0","0","0","4","12.9","3.2","0.0%"
"170","Penny Hart (FA)","7","12","59","8.4","16","0","0","0","0","0","0","12","12.9","1.1","0.0%"
"171","KJ Hamler (BUF)","5","10","74","14.8","28","2","0","0","0","0","0","3","12.4","4.1","0.0%"
"172","Juwann Winfree (FA)","8","13","58","7.3","12","0","0","0","0","0","1","5","11.8","2.4","0.0%"
"173","Jaelon Darden (FA)","6","12","43","7.2","29","1","0","1","11","0","0","9","11.4","1.3","0.0%"
"174","Cameron Batson (FA)","2","5","15","7.5","13","0","1","2","15","0","0","4","11.0","2.8","0.0%"
"175","Ja'Marcus Bradley (FA)","4","4","64","16.0","37","1","0","0","0","0","0","4","10.4","2.6","0.0%"
"176","Mike Thomas (FA)","5","11","52","10.4","19","0","0","0","0","0","0","7","10.2","1.5","0.0%"
"177","Dezmon Patmon (FA)","2","4","21","10.5","14","0","1","0","0","0","0","4","10.1","2.5","0.0%"
"178","Curtis Samuel (BUF)","6","9","27","4.5","10","0","0","4","11","0","0","5","9.8","2.0","2.9%"
"179","C.J. Board (FA)","4","6","51","12.8","38","1","0","1","6","0","0","6","9.7","1.6","0.0%"
"180","Amari Rodgers (FA)","4","8","45","11.3","19","0","0","1","11","0","0","16","9.6","0.6","1.0%"
"181","William Fuller V (FA)","4","8","26","6.5","10","0","0","0","0","0","0","2","8.6","4.3","0.0%"
"182","Jason Moore Jr. (FA)","3","4","56","18.7","24","1","0","0","0","0","0","1","8.6","8.6","0.0%"
"183","Alex Erickson (FA)","3","4","55","18.3","25","1","0","0","0","0","0","17","8.5","0.5","0.0%"
"184","Andre Roberts (FA)","1","2","35","35.0","35","1","0","3","19","0","2","16","8.4","0.5","0.0%"
"185","Cody White (SEA)","5","6","33","6.6","11","0","0","0","0","0","0","6","8.3","1.4","0.0%"
"186","Willie Snead IV (FA)","4","8","38","9.5","15","0","0","0","0","0","0","7","7.8","1.1","0.0%"
"187","Pharoh Cooper (FA)","4","11","33","8.3","15","0","0","1","3","0","0","8","7.6","1.0","0.0%"
"188","Cody Hollister (FA)","4","7","33","8.3","14","0","0","0","0","0","0","3","7.3","2.4","0.0%"
"189","Greg Dortch (ARI)","3","3","15","5.0","10","0","0","1","24","0","0","5","6.9","1.4","1.8%"
"190","D.J. Montgomery (IND)","3","6","36","12.0","14","0","0","0","0","0","0","2","6.6","3.3","0.0%"
"191","Christian Blake (FA)","4","10","25","6.3","8","0","0","0","0","0","0","10","6.5","0.7","0.0%"
"192","Trent Taylor (SF)","2","3","41","20.5","26","1","0","0","0","0","0","4","6.1","1.5","0.0%"
"193","Gunner Olszewski (NYG)","2","3","31","15.5","22","1","0","1","9","0","0","16","6.0","0.4","0.0%"
"194","KJ Hill Jr. (FA)","3","3","30","10.0","19","0","0","0","0","0","0","6","6.0","1.0","0.0%"
"195","Brandon Powell (FA)","0","0","0","0","0","0","0","0","0","0","0","6","6.0","1.0","1.4%"
"196","J.J. Arcega-Whiteside (FA)","2","5","36","18.0","23","1","0","0","0","0","0","7","5.6","0.8","0.0%"
"197","Trenton Irwin (JAC)","2","5","34","17.0","25","1","0","0","0","0","0","5","5.4","1.1","0.0%"
"198","Kevin White (FA)","1","5","38","38.0","38","1","0","0","0","0","0","4","4.8","1.2","0.0%"
"199","Jake Kumerow (FA)","2","6","28","14.0","15","0","0","0","0","0","0","7","4.8","0.7","0.0%"
"200","Keith Kirkwood (BAL)","3","7","17","5.7","7","0","0","0","0","0","0","3","4.7","1.6","0.0%"
"201","Michael Strachan (WAS)","2","3","26","13.0","16","0","0","0","0","0","0","2","4.6","2.3","0.0%"
"202","Marcus Kemp (FA)","2","5","24","12.0","16","0","0","0","0","0","0","12","4.4","0.4","0.0%"
"203","Seth Williams (LV)","1","1","34","34.0","34","1","0","0","0","0","0","1","4.4","4.4","0.0%"
"204","Tylan Wallace (BAL)","2","6","23","11.5","18","0","0","0","0","0","0","10","4.3","0.4","0.6%"
"205","Dazz Newsome (FA)","2","5","23","11.5","13","0","0","0","0","0","0","3","4.3","1.4","0.0%"
"206","David Sills (ATL)","2","6","17","8.5","12","0","0","0","0","0","0","4","3.7","0.9","0.0%"
"207","Tyron Billy-Johnson (FA)","2","5","16","8.0","10","0","0","0","0","0","0","7","3.6","0.5","0.0%"
"208","Tyrell Williams (FA)","2","3","14","7.0","7","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"209","Stanley Morgan Jr. (FA)","2","4","11","5.5","8","0","0","1","3","0","0","11","3.4","0.3","0.0%"
