"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (LAR)","115","149","1,374","11.9","56","18","18","0","0","0","1","14","358.4","25.6","96.5%"
"2","Tyreek Hill (MIA)","87","135","1,276","14.7","75","20","15","13","123","2","0","15","328.9","21.9","98.3%"
"3","Stefon Diggs (NE)","127","166","1,535","12.1","55","20","8","1","1","0","0","16","328.6","20.5","83.8%"
"4","DeAndre Hopkins (BAL)","115","160","1,407","12.2","60","17","6","1","1","0","2","16","287.8","18.0","16.5%"
"5","Calvin Ridley (TEN)","90","143","1,374","15.3","63","23","9","5","1","0","1","15","281.5","18.8","87.8%"
"6","Justin Jefferson (MIN)","88","125","1,400","15.9","71","23","7","1","2","0","0","16","274.2","17.1","99.5%"
"7","DK Metcalf (PIT)","83","129","1,303","15.7","62","17","10","0","0","0","1","16","271.3","17.0","96.0%"
"8","Tyler Lockett (TEN)","100","132","1,054","10.5","47","10","10","0","0","0","0","16","265.4","16.6","10.4%"
"9","Allen Robinson II (FA)","102","151","1,250","12.3","42","22","6","1","-1","0","0","16","262.9","16.4","1.4%"
"10","Adam Thielen (CAR)","74","108","925","12.5","51","11","14","3","15","0","0","15","254.0","16.9","35.8%"
"11","Mike Evans (TB)","70","109","1,006","14.4","50","20","13","0","0","0","0","16","248.6","15.5","97.6%"
"12","A.J. Brown (PHI)","70","106","1,075","15.4","73","13","11","0","0","0","1","14","247.5","17.7","99.3%"
"13","Keenan Allen (LAC)","100","147","992","9.9","28","10","8","1","-1","0","2","14","245.1","17.5","39.0%"
"14","Robert Woods (PIT)","90","129","936","10.4","56","11","6","24","155","2","1","16","245.1","15.3","0.9%"
"15","Amari Cooper (FA)","92","130","1,114","12.1","69","13","5","6","14","0","0","16","236.8","14.8","8.8%"
"16","JuJu Smith-Schuster (KC)","97","128","831","8.6","31","13","9","0","0","0","1","16","234.1","14.6","1.5%"
"17","Brandin Cooks (NO)","81","119","1,150","14.2","57","20","6","0","0","0","0","15","232.0","15.5","4.8%"
"18","Marvin Jones Jr. (FA)","76","115","978","12.9","43","19","9","0","0","0","0","16","227.8","14.2","0.0%"
"19","Robbie Chosen (SF)","95","136","1,096","11.5","75","16","3","4","15","0","1","16","224.1","14.0","0.0%"
"20","Terry McLaurin (WAS)","87","134","1,118","12.9","68","17","4","2","30","0","1","15","223.8","14.9","96.8%"
"21","Diontae Johnson (CLE)","88","144","923","10.5","47","10","7","3","15","0","1","15","221.8","14.8","7.7%"
"22","CeeDee Lamb (DAL)","74","111","935","12.6","52","18","5","10","82","1","1","16","217.7","13.6","99.4%"
"23","Chase Claypool (FA)","62","109","873","14.1","84","14","9","10","16","2","1","16","214.9","13.4","1.1%"
"24","Curtis Samuel (BUF)","77","97","851","11.1","44","12","3","41","200","2","0","15","212.1","14.1","2.9%"
"25","DJ Moore (CHI)","66","118","1,193","18.1","74","19","4","2","22","0","0","15","211.5","14.1","93.8%"
"26","Cooper Kupp (SEA)","92","124","974","10.6","55","12","3","4","33","0","1","15","208.7","13.9","83.1%"
"27","Cole Beasley (FA)","82","107","967","11.8","35","15","4","0","0","0","0","15","207.5","13.8","0.0%"
"28","Tee Higgins (CIN)","67","108","908","13.6","67","14","6","5","28","0","1","16","194.6","12.2","98.3%"
"29","Tyler Boyd (FA)","79","110","841","10.6","72","7","4","5","49","0","0","15","192.6","12.8","0.7%"
"30","Corey Davis (FA)","65","92","984","15.1","75","14","5","0","0","0","1","14","191.4","13.7","0.0%"
"31","Chris Godwin (TB)","65","84","840","12.9","47","13","7","0","0","0","0","12","191.0","15.9","83.2%"
"32","William Fuller V (FA)","53","75","879","16.6","77","14","8","1","0","0","0","11","188.9","17.2","0.0%"
"33","Jarvis Landry (FA)","72","101","840","11.7","32","11","3","4","10","1","0","15","188.0","12.5","7.1%"
"34","Nelson Agholor (FA)","48","82","896","18.7","85","15","8","0","0","0","0","16","185.6","11.6","1.0%"
"35","Brandon Aiyuk (SF)","60","96","748","12.5","49","10","5","6","77","2","0","12","184.5","15.4","55.5%"
"36","Marquise Brown (KC)","58","100","769","13.3","70","13","8","1","1","0","0","16","183.0","11.4","35.7%"
"37","Russell Gage Jr. (SF)","72","109","786","10.9","35","6","4","2","9","0","0","16","181.1","11.3","0.0%"
"38","Michael Gallup (WAS)","59","105","843","14.3","55","11","5","0","0","0","0","16","173.3","10.8","0.6%"
"39","Jamison Crowder (FA)","59","89","699","11.8","69","9","6","1","14","0","0","12","172.0","14.3","1.0%"
"40","DeVante Parker (FA)","63","103","793","12.6","31","10","4","0","0","0","0","14","166.3","11.9","0.0%"
"41","Emmanuel Sanders (FA)","61","82","726","11.9","51","7","5","1","12","0","0","14","164.8","11.8","0.0%"
"42","T.Y. Hilton (FA)","56","93","762","13.6","50","11","5","0","0","0","0","15","164.2","10.9","1.6%"
"43","Sterling Shepard (TB)","66","90","656","9.9","29","10","3","6","49","1","0","12","162.5","13.5","1.0%"
"44","Tim Patrick (DET)","51","79","742","14.5","61","14","6","0","0","0","0","15","161.2","10.7","1.8%"
"45","Jerry Jeudy (CLE)","52","113","856","16.5","92","14","3","0","0","0","0","16","157.6","9.9","87.5%"
"46","Laviska Shenault Jr. (BUF)","58","79","600","10.3","36","10","5","18","91","0","0","14","157.1","11.2","0.1%"
"47","Keelan Cole Sr. (FA)","55","88","642","11.7","51","8","5","1","2","0","0","16","155.4","9.7","0.0%"
"48","Mike Williams (FA)","48","85","756","15.8","64","13","5","1","1","0","0","15","153.7","10.2","3.2%"
"49","DJ Chark Jr. (ATL)","53","93","706","13.3","73","10","5","0","0","0","0","13","153.6","11.8","0.7%"
"50","Darnell Mooney (ATL)","61","98","631","10.3","53","6","4","4","20","0","0","16","152.1","9.5","58.3%"
"51","Christian Kirk (HOU)","48","79","621","12.9","80","7","6","2","3","0","0","14","146.4","10.5","30.0%"
"52","Julio Jones (FA)","51","68","771","15.1","44","16","3","0","0","0","0","9","146.1","16.2","0.6%"
"53","Jakobi Meyers (LV)","59","81","729","12.4","35","11","0","2","9","0","1","14","142.6","10.2","82.3%"
"54","Darius Slayton (NYG)","50","96","751","15.0","41","10","3","2","-1","0","1","16","141.0","8.8","7.2%"
"55","Marquez Valdes-Scantling (SEA)","33","63","690","20.9","78","10","6","4","13","0","1","16","137.3","8.6","3.7%"
"56","Zach Pascal (NYG)","44","71","629","14.3","42","13","5","0","0","0","0","16","136.9","8.6","0.0%"
"57","Gabe Davis (FA)","35","62","599","17.1","56","10","7","1","0","0","0","16","136.9","8.6","3.3%"
"58","Greg Ward (FA)","53","79","419","7.9","32","3","6","2","-4","0","0","16","133.1","8.3","0.0%"
"59","Hunter Renfrow (CAR)","56","77","656","11.7","53","7","2","0","0","0","1","16","131.6","8.2","1.9%"
"60","Kendrick Bourne (NE)","49","74","667","13.6","49","7","2","0","0","0","0","15","129.7","8.6","1.4%"
"61","Mecole Hardman Jr. (GB)","41","62","560","13.7","49","7","4","4","31","0","2","16","128.1","8.0","0.6%"
"62","Josh Reynolds (NYJ)","52","81","618","11.9","40","8","2","1","5","0","1","16","124.3","7.8","2.6%"
"63","Rashard Higgins (FA)","37","52","599","16.2","43","12","4","0","0","0","0","13","120.9","9.3","0.0%"
"64","David Moore (CAR)","35","47","417","11.9","57","5","6","8","61","0","0","16","118.8","7.4","0.8%"
"65","Antonio Brown (FA)","45","62","483","10.7","46","6","4","2","-2","0","0","8","117.1","14.6","1.0%"
"66","Travis Fulgham (FA)","38","67","539","14.2","42","5","4","0","0","0","0","13","115.9","8.9","0.0%"
"67","Damiere Byrd (FA)","47","77","604","12.9","42","10","1","2","15","0","0","16","114.9","7.2","0.0%"
"68","A.J. Green (FA)","47","104","523","11.1","33","3","2","0","0","0","0","16","111.3","7.0","0.7%"
"69","Anthony Miller (BAL)","49","76","485","9.9","34","4","2","2","12","0","1","16","108.7","6.8","0.0%"
"70","Demarcus Robinson (SF)","45","59","466","10.4","28","7","3","0","0","0","1","15","107.6","7.2","2.8%"
"71","Danny Amendola (FA)","46","69","602","13.1","50","8","0","1","2","0","0","14","106.4","7.6","0.0%"
"72","Tre'Quan Smith (FA)","34","50","448","13.2","31","9","4","1","3","0","0","14","103.1","7.4","0.0%"
"73","Scotty Miller (PIT)","33","53","501","15.2","48","7","3","3","14","0","0","16","102.5","6.4","0.1%"
"74","Larry Fitzgerald (FA)","54","72","409","7.6","18","0","1","0","0","0","0","13","100.9","7.8","0.8%"
"75","Randall Cobb (FA)","38","48","441","11.6","34","6","3","0","0","0","0","10","100.1","10.0","1.1%"
"76","Isaiah McKenzie (FA)","30","34","282","9.4","46","3","5","10","9","0","0","16","99.6","6.2","0.0%"
"77","James Washington (FA)","30","56","392","13.1","50","5","5","0","0","0","0","16","99.2","6.2","0.0%"
"78","Breshad Perriman (FA)","30","60","505","16.8","53","10","3","1","6","0","0","12","99.1","8.3","0.0%"
"79","Michael Pittman Jr. (IND)","40","61","503","12.6","45","5","1","3","26","0","0","13","98.9","7.6","65.1%"
"80","Allen Lazard (NYJ)","33","46","451","13.7","72","6","3","2","17","0","0","10","97.8","9.8","2.6%"
"81","Braxton Berrios (HOU)","37","55","394","10.6","43","6","3","3","29","0","0","16","97.3","6.1","0.6%"
"82","Jalen Guyton (FA)","28","55","511","18.3","72","7","3","2","0","0","0","16","97.1","6.1","0.0%"
"83","Chris Conley (FA)","40","63","471","11.8","51","5","2","0","0","0","1","15","97.1","6.5","0.0%"
"84","John Brown (FA)","33","52","458","13.9","46","7","3","0","0","0","0","9","96.8","10.8","0.0%"
"85","Willie Snead IV (FA)","33","48","432","13.1","34","7","3","0","0","0","0","13","94.2","7.2","0.0%"
"86","KJ Hamler (BUF)","30","56","381","12.7","49","5","3","9","40","0","0","13","90.1","6.9","0.0%"
"87","Sammy Watkins (FA)","37","55","421","11.4","37","4","2","1","3","0","1","10","88.4","8.8","0.0%"
"88","Jakeem Grant Sr. (FA)","36","54","373","10.4","30","3","1","3","20","0","0","14","87.3","6.2","0.0%"
"89","Jalen Reagor (LAC)","31","54","396","12.8","55","4","1","4","26","0","0","11","87.2","7.9","0.0%"
"90","Keke Coutee (FA)","33","40","400","12.1","64","3","3","0","0","0","3","8","87.0","10.9","0.0%"
"91","Odell Beckham Jr. (FA)","23","43","319","13.9","43","3","3","3","72","1","0","7","86.8","12.4","1.1%"
"92","Golden Tate (FA)","35","52","388","11.1","39","5","2","0","0","0","0","12","86.5","7.2","1.0%"
"93","Cam Sims (FA)","32","48","477","14.9","50","9","1","1","5","0","0","16","86.2","5.4","0.0%"
"94","Henry Ruggs III (FA)","26","43","452","17.4","72","8","2","9","49","0","2","13","84.1","6.5","8.4%"
"95","Michael Thomas (FA)","40","55","438","11.0","24","5","0","1","1","0","0","7","83.9","12.0","1.2%"
"96","Deebo Samuel Sr. (WAS)","33","44","391","11.8","35","8","1","8","26","0","0","7","80.7","11.5","83.6%"
"97","Tyron Billy-Johnson (FA)","20","26","398","19.9","55","7","3","3","17","0","0","12","79.5","6.6","0.0%"
