"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"98","Preston Williams (FA)","18","35","288","16.0","47","6","4","0","0","0","0","8","74.8","9.4","0.0%"
"99","N'Keal Harry (FA)","33","57","309","9.4","30","2","2","2","0","0","1","14","73.9","5.3","0.0%"
"100","Miles Boykin (CHI)","19","33","266","14.0","43","3","4","0","0","0","0","16","69.6","4.4","0.0%"
"101","Quintez Cephus (HOU)","20","35","349","17.5","49","7","2","0","0","0","0","13","66.9","5.1","0.0%"
"102","Kenny Golladay (FA)","20","32","338","16.9","48","4","2","0","0","0","0","5","65.8","13.2","4.0%"
"103","Richie James Jr. (FA)","23","35","394","17.1","47","7","1","0","0","0","2","11","64.4","5.9","0.0%"
"104","DaeSean Hamilton (FA)","23","44","293","12.7","40","2","2","0","0","0","1","16","62.3","3.9","0.0%"
"105","Denzel Mims (FA)","23","44","357","15.5","30","6","0","0","0","0","0","9","60.7","6.7","0.0%"
"106","Marvin Hall (FA)","18","32","302","16.8","73","4","2","1","1","0","0","12","60.3","5.0","0.0%"
"107","Collin Johnson (LV)","18","31","272","15.1","46","5","2","0","0","0","0","14","59.2","4.2","0.0%"
"108","Donovan Peoples-Jones (NO)","14","20","304","21.7","75","4","2","0","0","0","0","12","58.4","4.9","0.0%"
"109","Adam Humphries (FA)","23","35","228","9.9","23","2","2","1","0","0","0","7","57.8","8.3","0.0%"
"110","Steven Sims Jr. (SEA)","27","37","265","9.8","30","3","1","1","18","0","2","12","57.3","4.8","0.0%"
"111","Julian Edelman (FA)","21","39","315","15.0","49","3","0","2","22","0","0","6","56.2","9.4","8.4%"
"112","Isaiah Ford (FA)","28","44","276","9.9","18","0","0","0","0","0","0","10","55.6","5.6","0.0%"
"113","Andy Isabella (FA)","21","35","224","10.7","54","3","2","1","-6","0","0","13","54.8","4.2","0.0%"
"114","Lynn Bowden Jr. (FA)","28","37","211","7.5","22","1","0","9","32","0","0","10","53.6","5.4","0.0%"
"115","Olamide Zaccheaus (CHI)","20","32","274","13.7","51","2","1","1","0","0","0","11","53.4","4.9","0.9%"
"116","Devin Duvernay (CHI)","20","26","201","10.1","39","1","0","4","70","0","0","16","53.1","3.3","0.6%"
"117","Cedrick Wilson Jr. (NO)","17","28","189","11.1","42","2","2","3","-12","0","0","16","51.6","3.2","1.1%"
"118","Chad Beebe (FA)","20","30","201","10.1","40","1","2","0","0","0","1","14","50.1","3.6","0.0%"
"119","Deonte Harty (FA)","20","25","186","9.3","40","1","1","6","51","0","1","9","47.7","5.3","0.0%"
"120","Van Jefferson (TEN)","19","31","220","11.6","31","2","1","1","-1","0","0","16","46.9","2.9","1.1%"
"121","Chad Hansen (FA)","17","24","236","13.9","38","3","1","0","0","0","0","5","46.6","9.3","0.0%"
"122","Dontrelle Inman (FA)","18","28","163","9.1","17","0","2","0","0","0","0","10","46.3","4.6","0.0%"
"123","Isaiah Wright (FA)","27","35","197","7.3","22","1","0","3","16","0","1","14","46.3","3.3","0.0%"
"124","DeSean Jackson (FA)","14","26","236","16.9","81","3","1","1","12","0","0","5","44.8","9.0","0.6%"
"125","Mohamed Sanu Sr. (FA)","17","24","187","11.0","21","3","1","1","3","0","0","10","44.0","4.4","0.0%"
"126","Marquez Callaway (LV)","21","27","213","10.1","27","1","0","0","0","0","0","11","42.3","3.8","0.0%"
"127","Byron Pringle (FA)","13","17","160","12.3","37","3","1","0","0","0","0","12","41.0","3.4","0.0%"
"128","Tyler Johnson (NYJ)","12","17","169","14.1","35","3","2","0","0","0","0","14","40.9","2.9","1.1%"
"129","Freddie Swain (FA)","13","21","159","12.2","23","3","2","0","0","0","0","16","40.9","2.6","0.0%"
"130","Marcus Johnson (FA)","14","28","255","18.2","55","6","0","0","0","0","0","11","39.5","3.6","0.0%"
"131","Mack Hollins (NE)","16","25","176","11.0","34","2","1","0","0","0","1","16","37.6","2.4","1.7%"
"132","Zay Jones (ARI)","14","20","154","11.0","37","1","1","0","0","0","0","16","36.6","2.3","1.0%"
"133","Bryan Edwards (FA)","11","15","193","17.5","34","5","1","0","0","0","0","12","36.3","3.0","0.0%"
"134","Bisi Johnson (FA)","14","19","189","13.5","29","3","0","0","0","0","0","16","34.9","2.2","0.0%"
"135","Jeff Smith (FA)","17","37","167","9.8","21","1","0","0","0","0","0","12","33.7","2.8","0.0%"
"136","KeeSean Johnson (FA)","15","23","173","11.5","45","2","0","0","0","0","0","8","32.3","4.0","0.0%"
"137","Ray-Ray McCloud III (ATL)","20","22","77","3.9","13","0","0","4","65","0","1","16","32.2","2.0","2.8%"
"138","Kenny Stills (FA)","11","19","144","13.1","24","2","1","0","0","0","0","10","31.4","3.1","0.0%"
"139","Mike Thomas (FA)","13","21","132","10.2","29","2","1","1","1","0","1","14","30.3","2.2","0.0%"
"140","Cameron Batson (FA)","12","13","100","8.3","18","0","1","4","20","0","0","12","30.0","2.5","0.0%"
"141","Noah Brown (WAS)","14","24","154","11.0","20","1","0","1","4","0","0","16","29.8","1.9","2.1%"
"142","Brandon Powell (FA)","12","18","69","5.8","13","0","2","2","7","0","1","15","29.6","2.0","1.4%"
"143","Jamal Agnew (ATL)","13","20","89","6.8","20","1","0","6","33","0","1","14","29.2","2.1","0.0%"
"144","KhaDarel Hodge (ATL)","11","17","180","16.4","42","2","0","0","0","0","0","9","29.0","3.2","0.7%"
"145","Auden Tate (FA)","14","22","150","10.7","19","0","0","0","0","0","0","9","29.0","3.2","0.0%"
"146","John Hightower (FA)","10","29","167","16.7","59","2","0","1","1","0","0","13","28.8","2.2","1.0%"
"147","Kalif Raymond (DET)","9","15","187","20.8","61","4","0","1","-3","0","0","15","27.4","1.8","0.9%"
"148","Christian Blake (FA)","13","18","141","10.8","25","3","0","0","0","0","0","16","27.1","1.7","0.0%"
"149","Chris Hogan (FA)","14","26","118","8.4","27","1","0","0","0","0","0","5","25.8","5.2","0.0%"
"150","Gunner Olszewski (NYG)","5","5","62","12.4","38","1","1","5","23","0","0","13","25.5","2.0","0.0%"
"151","Equanimeous St. Brown (SF)","7","13","117","16.7","24","3","1","1","7","0","0","12","25.4","2.1","0.1%"
"152","Malcolm Perry (FA)","9","13","92","10.2","25","1","1","3","5","0","0","9","24.7","2.7","0.0%"
"153","Quez Watkins (ARI)","7","13","106","15.1","43","2","1","0","0","0","0","6","23.6","3.9","0.0%"
"154","Alshon Jeffery (FA)","6","13","115","19.2","39","3","1","0","0","0","0","7","23.5","3.4","0.0%"
"155","Laquon Treadwell (IND)","6","7","49","8.2","14","0","2","0","0","0","0","5","22.9","4.6","0.0%"
"156","Dez Bryant (FA)","6","11","47","7.8","16","0","2","0","0","0","0","6","22.7","3.8","2.6%"
"157","Alex Erickson (FA)","12","17","139","11.6","42","2","0","5","7","0","2","16","22.6","1.4","0.0%"
"158","DeMichael Harris (FA)","10","10","79","7.9","21","1","0","6","46","0","0","7","22.5","3.2","0.0%"
"159","C.J. Board (FA)","11","16","101","9.2","16","0","0","1","3","0","0","14","21.4","1.5","0.0%"
"160","Trent Taylor (SF)","10","21","86","8.6","29","2","0","0","0","0","0","12","18.6","1.6","0.0%"
"161","Malik Taylor (DET)","5","6","66","13.2","26","2","1","1","9","0","0","15","18.5","1.2","0.0%"
"162","Javon Wims (FA)","6","12","48","8.0","13","0","1","1","2","0","0","13","17.0","1.3","0.0%"
"163","Justin Watson (HOU)","7","11","94","13.4","36","1","0","0","0","0","0","11","16.4","1.5","1.0%"
"164","Austin Mack (FA)","7","11","91","13.0","50","1","0","0","0","0","0","11","16.1","1.5","0.0%"
"165","Dante Pettis (NO)","4","6","76","19.0","33","2","1","0","0","0","1","7","15.6","2.2","0.6%"
"166","Parris Campbell (FA)","6","9","71","11.8","21","1","0","2","16","0","0","2","14.7","7.4","0.1%"
"167","J.J. Arcega-Whiteside (FA)","4","8","85","21.3","37","2","0","0","0","0","0","8","14.5","1.8","0.0%"
"168","Lil'Jordan Humphrey (NYG)","3","5","46","15.3","17","0","1","0","0","0","0","3","13.6","4.5","0.7%"
"169","Diontae Spencer (FA)","3","6","26","8.7","10","0","0","3","19","0","0","11","13.5","1.2","0.0%"
"170","Jaydon Mickens (FA)","7","10","58","8.3","11","0","0","0","0","0","0","10","12.8","1.3","0.0%"
"171","Pharoh Cooper (FA)","5","8","73","14.6","32","1","0","0","0","0","0","16","12.3","0.8","0.0%"
"172","Tyrie Cleveland (FA)","6","9","63","10.5","17","0","0","0","0","0","0","10","12.3","1.2","0.0%"
"173","KJ Hill Jr. (FA)","7","11","73","10.4","25","1","0","0","0","0","1","15","12.3","0.8","0.0%"
"174","Austin Carr (FA)","3","4","27","9.0","11","0","1","0","0","0","0","6","11.7","2.0","0.0%"
"175","Ja'Marcus Bradley (FA)","5","11","60","12.0","22","1","0","0","0","0","0","3","11.0","3.7","0.0%"
"176","Steven Mitchell Jr. (FA)","5","8","60","12.0","20","1","0","0","0","0","0","6","11.0","1.8","0.0%"
"177","Damion Ratley (FA)","4","10","63","15.8","29","1","0","0","0","0","0","5","10.3","2.1","0.0%"
"178","River Cracraft (FA)","6","9","41","6.8","12","0","0","0","0","0","0","9","10.1","1.1","0.0%"
"179","Trent Sherfield Sr. (DEN)","5","7","50","10.0","26","1","0","0","0","0","0","15","10.0","0.7","0.1%"
"180","Courtland Sutton (DEN)","3","6","66","22.0","45","2","0","0","0","0","0","1","9.6","9.6","92.0%"
"181","Ashton Dulin (IND)","3","6","53","17.7","34","1","0","2","11","0","0","13","9.4","0.7","0.1%"
"182","Jake Kumerow (FA)","1","1","22","22.0","22","1","1","0","0","0","0","6","9.2","1.5","0.0%"
"183","Joe Reed (FA)","0","1","0","0","0","0","0","5","29","1","0","11","8.9","0.8","0.0%"
"184","Nick Westbrook-Ikhine (MIA)","3","8","33","11.0","19","0","0","0","0","0","0","14","8.3","0.6","2.9%"
"185","Riley Ridley (FA)","4","4","39","9.8","18","0","0","0","0","0","0","5","7.9","1.6","0.0%"
"186","Darrius Shepherd (FA)","5","8","46","9.2","19","0","0","0","0","0","1","8","7.6","1.0","0.0%"
"187","Seth Roberts (FA)","4","6","31","7.8","12","0","0","0","0","0","0","7","7.1","1.0","0.0%"
"188","Ted Ginn Jr. (FA)","3","6","40","13.3","29","1","0","0","0","0","0","5","7.0","1.4","0.0%"
"189","Isaiah Zuber (FA)","2","2","29","14.5","16","0","0","2","21","0","0","4","7.0","1.8","0.0%"
"190","Josh Malone (FA)","4","6","16","4.0","13","0","0","1","12","0","0","4","6.8","1.7","0.0%"
"191","Brandon Zylstra (FA)","3","4","35","11.7","28","1","0","1","1","0","0","16","6.6","0.4","0.0%"
"192","Terry Godwin (FA)","3","6","32","10.7","21","1","0","1","3","0","0","3","6.5","2.2","0.0%"
"193","Robert Foster (FA)","2","6","37","18.5","28","1","0","0","0","0","0","4","5.7","1.4","0.0%"
"194","Lawrence Cager (WAS)","2","6","35","17.5","19","0","0","0","0","0","0","2","5.5","2.8","0.0%"
"195","Tavon Austin (FA)","5","5","20","4.0","7","0","0","0","0","0","1","4","5.0","1.3","0.6%"
"196","Deontay Burnett (FA)","3","4","19","6.3","10","0","0","0","0","0","0","2","4.9","2.5","0.0%"
"197","Daurice Fountain (FA)","2","3","23","11.5","12","0","0","0","0","0","0","5","4.3","0.9","0.0%"
"198","Antonio Callaway (FA)","2","4","20","10.0","13","0","0","0","0","0","0","5","4.0","0.8","0.0%"
"199","John Ross (FA)","2","7","17","8.5","15","0","0","0","0","0","0","3","3.7","1.2","0.0%"
"200","Antonio Gandy-Golden (FA)","1","7","3","3.0","3","0","0","1","22","0","0","6","3.5","0.6","0.0%"
"201","Penny Hart (FA)","1","1","3","3.0","3","0","0","1","19","0","0","13","3.2","0.2","0.0%"
"202","Andre Roberts (FA)","4","5","34","8.5","16","0","0","1","-3","0","2","15","3.1","0.2","0.0%"
"203","Bennie Fowler III (FA)","2","6","11","5.5","7","0","0","0","0","0","0","5","3.1","0.6","0.0%"
"204","Tommylee Lewis (FA)","1","3","5","5.0","5","0","0","2","14","0","0","5","2.9","0.6","0.0%"
"205","Donte Moncrief (FA)","1","2","15","15.0","15","0","0","1","4","0","0","6","2.9","0.5","0.0%"
"206","Jaleel Scott (FA)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"207","James Proche II (TEN)","1","3","14","14.0","14","0","0","0","0","0","0","14","2.4","0.2","0.0%"
"208","Keith Kirkwood (BAL)","1","2","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"209","Vyncint Smith (FA)","1","3","13","13.0","13","0","0","0","0","0","0","7","2.3","0.3","0.0%"
"210","Cody Hollister (FA)","1","1","12","12.0","12","0","0","0","0","0","0","2","2.2","1.1","0.0%"
"211","Marcus Kemp (FA)","1","1","11","11.0","11","0","0","0","0","0","0","10","2.1","0.2","0.0%"
"212","Gehrig Dieter (FA)","1","2","10","10.0","10","0","0","0","0","0","0","4","2.0","0.5","0.0%"
"213","Trenton Irwin (JAC)","1","2","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"214","JoJo Natson (FA)","0","0","0","0","0","0","0","1","3","0","0","3","0.3","0.1","0.0%"
"215","Dan Chisena (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"216","Isaiah Coulter (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Dezmon Patmon (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"219","K.J. Osborn (WAS)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","1.4%"
"220","Chris Rowland (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"221","Matt Cole (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"222","Kristian Wilkerson (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"223","Jordan Matthews (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"224","Matthew Slater (FA)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"225","Tony Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Deon Cain (BUF)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"227","Trey Quinn (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"228","Fred Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"229","Jeff Badet (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"230","Derrick Willies (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Justin Hardee Sr. (FA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"232","Cyril Grayson Jr. (FA)","0","3","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"233","Deante Burton (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"234","Rico Gafford (FA)","0","2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"235","Stanley Morgan Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"236","Juwann Winfree (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"237","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.6%"
"238","Keelan Doss (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"239","Reggie Begelton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"240","Alex Bachman (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"241","Jason Moore Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"242","Malik Turner (SF)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"243","Hakeem Butler (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"244","Kevin White (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"245","Ty Montgomery II (FA)","3","6","27","9.0","17","0","0","19","101","0","0","6","0.0","0.0","0.0%"
"246","Marken Michel (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
