"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Michael Thomas (FA)","149","185","1,725","11.6","49","17","9","1","-9","0","0","16","374.6","23.4","1.2%"
"2","Chris Godwin (TB)","86","121","1,333","15.5","71","25","9","1","8","0","0","14","276.1","19.7","83.2%"
"3","Julio Jones (FA)","99","157","1,394","14.1","54","21","6","2","-3","0","0","15","274.1","18.3","0.6%"
"4","Cooper Kupp (SEA)","94","134","1,161","12.4","66","21","10","2","4","0","0","16","270.5","16.9","83.1%"
"5","DeAndre Hopkins (BAL)","104","150","1,165","11.2","43","16","7","2","18","0","0","15","269.5","18.0","16.5%"
"6","Keenan Allen (LAC)","104","149","1,199","11.5","45","15","6","3","16","0","0","16","261.5","16.3","39.0%"
"7","Julian Edelman (FA)","100","153","1,117","11.2","44","13","6","8","27","0","1","16","256.3","16.0","8.4%"
"8","Allen Robinson II (FA)","98","154","1,147","11.7","49","15","7","1","2","0","0","16","254.9","15.9","1.4%"
"9","Kenny Golladay (FA)","65","116","1,190","18.3","75","22","11","0","0","0","1","16","248.0","15.5","4.0%"
"10","Amari Cooper (FA)","79","119","1,189","15.1","53","17","8","1","6","0","0","16","246.5","15.4","8.8%"
"11","DeVante Parker (FA)","72","128","1,202","16.7","51","21","9","0","0","0","0","16","246.2","15.4","0.0%"
"12","Jarvis Landry (FA)","83","138","1,174","14.1","65","20","6","1","10","0","0","16","237.4","14.8","7.1%"
"13","Tyler Lockett (TEN)","82","110","1,057","12.9","44","15","8","4","-5","0","0","16","235.2","14.7","10.4%"
"14","Robert Woods (PIT)","90","139","1,134","12.6","48","14","2","17","115","1","0","15","232.9","15.5","0.9%"
"15","Mike Evans (TB)","67","118","1,157","17.3","67","17","8","0","0","0","0","13","232.7","17.9","97.6%"
"16","DJ Moore (CHI)","87","135","1,175","13.5","52","13","4","6","40","0","1","15","230.5","15.4","93.8%"
"17","DJ Chark Jr. (ATL)","73","118","1,008","13.8","69","17","8","2","20","0","0","15","225.8","15.1","0.7%"
"18","Tyler Boyd (FA)","90","148","1,046","11.6","47","12","5","4","23","0","2","16","222.9","13.9","0.7%"
"19","Courtland Sutton (DEN)","72","124","1,112","15.4","70","18","6","3","17","0","0","16","222.4","13.9","92.0%"
"20","John Brown (FA)","72","115","1,060","14.7","53","17","6","2","7","0","0","15","219.8","14.7","0.0%"
"21","A.J. Brown (PHI)","52","84","1,051","20.2","91","15","8","3","60","1","0","16","217.1","13.6","99.3%"
"22","Davante Adams (LAR)","83","127","997","12.0","58","12","5","0","0","0","1","12","212.7","17.7","96.5%"
"23","Michael Gallup (WAS)","66","113","1,107","16.8","62","18","6","0","0","0","0","14","212.7","15.2","0.6%"
"24","Stefon Diggs (NE)","63","94","1,130","17.9","66","20","6","5","61","0","3","15","212.1","14.1","83.8%"
"25","Odell Beckham Jr. (FA)","74","133","1,035","14.0","89","16","4","3","10","0","1","16","201.3","12.6","1.1%"
"26","Jamison Crowder (FA)","78","122","833","10.7","41","11","6","1","4","0","0","16","197.7","12.4","1.0%"
"27","Calvin Ridley (TEN)","63","93","866","13.7","36","12","7","2","34","0","0","13","197.0","15.2","87.8%"
"28","Marvin Jones Jr. (FA)","62","91","779","12.6","47","12","9","2","0","0","0","13","193.9","14.9","0.0%"
"29","Terry McLaurin (WAS)","58","93","919","15.8","75","15","7","0","0","0","0","14","191.9","13.7","96.8%"
"30","Emmanuel Sanders (FA)","66","97","869","13.2","75","11","5","0","0","0","0","17","190.3","11.2","0.0%"
"31","Deebo Samuel Sr. (WAS)","57","81","802","14.1","42","17","3","14","159","3","1","15","189.1","12.6","83.6%"
"32","Tyreek Hill (MIA)","58","89","860","14.8","57","11","7","8","23","0","0","12","188.3","15.7","98.3%"
"33","DK Metcalf (PIT)","58","100","900","15.5","54","13","7","2","11","0","3","16","187.1","11.7","96.0%"
"34","Cole Beasley (FA)","67","106","778","11.6","51","10","6","0","0","0","0","15","184.8","12.3","0.0%"
"35","Larry Fitzgerald (FA)","75","109","804","10.7","54","10","4","0","0","0","1","16","177.4","11.1","0.8%"
"36","Curtis Samuel (BUF)","54","105","627","11.6","44","8","6","19","130","1","0","16","171.7","10.7","2.9%"
"37","Darius Slayton (NYG)","48","84","740","15.4","55","12","8","0","0","0","0","14","170.0","12.1","7.2%"
"38","Christian Kirk (HOU)","68","108","709","10.4","69","6","3","10","93","0","0","13","168.2","12.9","30.0%"
"39","Diontae Johnson (CLE)","59","92","680","11.5","45","7","5","4","41","0","2","16","163.1","10.2","7.7%"
"40","Robbie Chosen (SF)","52","96","779","15.0","92","13","5","1","4","0","0","16","162.3","10.1","0.0%"
"41","Mike Williams (FA)","49","90","1,001","20.4","56","17","2","1","2","0","0","15","161.3","10.8","3.2%"
"42","Dede Westbrook (FA)","66","101","660","10.0","39","10","3","5","27","0","0","15","156.7","10.4","0.0%"
"43","Chris Conley (FA)","47","90","775","16.5","70","13","5","0","0","0","0","16","156.5","9.8","0.0%"
"44","Randall Cobb (FA)","55","83","828","15.1","59","15","3","3","11","0","1","15","154.9","10.3","1.1%"
"45","Golden Tate (FA)","49","85","676","13.8","64","10","6","1","16","0","1","11","152.2","13.8","1.0%"
"46","Marquise Brown (KC)","46","71","584","12.7","83","8","7","0","0","0","0","14","146.4","10.5","35.7%"
"47","Tyrell Williams (FA)","42","64","651","15.5","46","12","6","0","0","0","0","14","143.1","10.2","0.0%"
"48","Sterling Shepard (TB)","57","83","576","10.1","36","8","3","6","72","0","0","10","141.8","14.2","1.0%"
"49","Danny Amendola (FA)","62","97","678","10.9","47","6","1","0","0","0","0","15","140.6","9.4","0.0%"
"50","Sammy Watkins (FA)","52","90","673","12.9","68","9","3","2","12","0","1","14","138.5","9.9","0.0%"
"51","Breshad Perriman (FA)","36","69","645","17.9","44","15","6","2","16","0","0","14","138.1","9.9","0.0%"
"52","Zach Pascal (NYG)","41","72","607","14.8","37","11","5","2","16","0","0","16","135.3","8.5","0.0%"
"53","William Fuller V (FA)","49","71","670","13.7","54","10","3","0","0","0","0","11","134.0","12.2","0.0%"
"54","Hunter Renfrow (CAR)","49","71","605","12.3","65","7","4","0","0","0","0","13","133.5","10.3","1.9%"
"55","James Washington (FA)","44","80","735","16.7","79","13","3","0","0","0","1","15","133.5","8.9","0.0%"
"56","Anthony Miller (BAL)","52","85","656","12.6","35","11","2","1","-1","0","1","16","127.5","8.0","0.0%"
"57","T.Y. Hilton (FA)","45","68","501","11.1","35","6","5","0","0","0","0","10","125.1","12.5","1.6%"
