"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"58","Mohamed Sanu Sr. (FA)","59","89","520","8.8","28","3","2","3","11","0","0","15","124.1","8.3","0.0%"
"59","Alshon Jeffery (FA)","43","73","490","11.4","38","6","4","1","2","1","0","10","122.2","12.2","0.0%"
"60","Kenny Stills (FA)","40","55","561","14.0","45","9","4","0","0","0","0","13","120.1","9.2","0.0%"
"61","Mecole Hardman Jr. (GB)","26","41","538","20.7","83","9","6","4","17","0","2","16","119.5","7.5","0.6%"
"62","Brandin Cooks (NO)","42","72","583","13.9","57","9","2","6","52","0","0","14","117.5","8.4","4.8%"
"63","Corey Davis (FA)","43","69","601","14.0","38","10","2","0","0","0","0","15","115.1","7.7","0.0%"
"64","Adam Thielen (CAR)","30","48","418","13.9","44","8","6","4","6","1","0","10","114.4","11.4","35.8%"
"65","JuJu Smith-Schuster (KC)","42","70","552","13.1","76","7","3","0","0","0","1","12","113.2","9.4","1.5%"
"66","Steven Sims Jr. (SEA)","34","56","310","9.1","65","2","4","9","85","1","0","16","109.5","6.8","0.0%"
"67","Allen Lazard (NYJ)","35","52","477","13.6","43","6","3","1","21","0","0","16","102.8","6.4","2.6%"
"68","Auden Tate (FA)","40","80","575","14.4","33","8","1","0","0","0","1","13","101.5","7.8","0.0%"
"69","Demarcus Robinson (SF)","32","55","449","14.0","44","7","4","0","0","0","0","16","100.9","6.3","2.8%"
"70","Phillip Dorsett II (LV)","29","54","397","13.7","58","6","5","3","21","0","0","14","100.8","7.2","0.0%"
"71","Russell Gage Jr. (SF)","49","74","446","9.1","19","0","1","4","12","0","1","16","98.8","6.2","0.0%"
"72","Kendrick Bourne (NE)","30","44","358","11.9","30","4","5","0","0","0","0","16","97.8","6.1","1.4%"
"73","Alex Erickson (FA)","43","78","529","12.3","52","5","0","5","33","0","2","16","96.2","6.0","0.0%"
"74","Willie Snead IV (FA)","31","46","339","10.9","50","4","5","2","2","0","0","16","95.1","5.9","0.0%"
"75","John Ross (FA)","28","56","506","18.1","66","10","3","3","4","0","1","8","95.0","11.9","0.0%"
"76","Nelson Agholor (FA)","39","69","363","9.3","43","5","3","2","7","0","1","11","94.0","8.5","1.0%"
"77","Preston Williams (FA)","32","60","428","13.4","35","6","3","0","0","0","1","8","90.8","11.4","0.0%"
"78","Taylor Gabriel (FA)","29","48","353","12.2","53","4","4","3","20","0","0","9","90.3","10.0","0.1%"
"79","Albert Wilson (FA)","43","62","351","8.2","35","4","1","5","45","0","0","13","89.4","6.9","0.0%"
"80","Adam Humphries (FA)","37","47","374","10.1","30","4","2","1","1","0","0","12","86.5","7.2","0.0%"
"81","Ted Ginn Jr. (FA)","30","56","421","14.0","45","7","2","3","18","0","0","16","85.9","5.4","0.0%"
"82","Demaryius Thomas (FA)","36","58","433","12.0","47","4","1","0","0","0","0","11","85.3","7.8","0.1%"
"83","Allen Hurns (FA)","32","47","416","13.0","27","4","2","0","0","0","1","14","83.6","6.0","0.0%"
"84","Marquez Valdes-Scantling (SEA)","26","56","444","17.1","74","7","2","2","9","0","0","16","83.3","5.2","3.7%"
"85","Tajae Sharpe (FA)","25","35","329","13.2","47","4","4","0","0","0","0","15","81.9","5.5","0.0%"
"86","Bisi Johnson (FA)","31","45","294","9.5","23","1","3","1","6","0","0","16","79.0","4.9","0.0%"
"87","Keelan Cole Sr. (FA)","24","36","361","15.0","55","5","3","1","6","0","0","16","78.7","4.9","0.0%"
"88","Geronimo Allison (FA)","34","55","287","8.4","31","3","2","1","7","0","1","16","75.4","4.7","0.0%"
"89","Josh Gordon (FA)","27","47","426","15.8","58","8","1","1","1","0","0","11","74.7","6.8","0.1%"
"90","Damiere Byrd (FA)","32","46","359","11.2","58","3","1","0","0","0","1","11","71.9","6.5","0.0%"
"91","Tre'Quan Smith (FA)","18","25","234","13.0","32","3","5","0","0","0","0","11","71.4","6.5","0.0%"
"92","Kelvin Harmon (FA)","30","44","365","12.2","30","8","0","0","0","0","0","16","66.9","4.2","0.0%"
"93","Cody Latimer (FA)","24","42","300","12.5","43","4","2","0","0","0","0","15","66.0","4.4","0.0%"
"94","Paul Richardson Jr. (FA)","28","42","245","8.8","22","1","2","1","0","0","0","10","64.5","6.5","0.0%"
"95","DaeSean Hamilton (FA)","28","52","297","10.6","28","4","1","0","0","0","0","16","63.7","4.0","0.0%"
"96","Isaiah McKenzie (FA)","27","39","254","9.4","46","3","1","8","49","0","0","15","63.3","4.2","0.0%"
"97","Josh Reynolds (NYJ)","21","43","326","15.5","31","8","1","5","23","0","0","16","61.9","3.9","2.6%"
"98","Jakobi Meyers (LV)","26","41","359","13.8","35","9","0","0","0","0","0","15","61.9","4.1","82.3%"
"99","Seth Roberts (FA)","21","35","271","12.9","33","3","2","0","0","0","0","16","60.1","3.8","0.0%"
"100","Greg Ward (FA)","28","40","254","9.1","38","1","1","1","5","0","0","7","59.9","8.6","0.0%"
"101","David Moore (CAR)","17","34","301","17.7","60","5","2","3","25","0","1","15","59.6","4.0","0.8%"
"102","Jarius Wright (FA)","28","58","296","10.6","33","3","0","1","-7","0","0","16","56.9","3.6","0.0%"
"103","Marcus Johnson (FA)","17","33","277","16.3","50","3","2","0","0","0","0","9","56.7","6.3","0.0%"
"104","Pharoh Cooper (FA)","25","33","243","9.7","28","4","1","1","2","0","0","13","55.5","4.3","0.0%"
"105","Keke Coutee (FA)","22","36","254","11.5","51","4","0","2","14","1","1","10","52.8","5.3","0.0%"
"106","Trey Quinn (FA)","26","47","198","7.6","19","0","1","0","0","0","1","12","51.8","4.3","0.0%"
"107","Miles Boykin (CHI)","13","22","198","15.2","50","2","3","0","0","0","0","16","50.8","3.2","0.0%"
"108","Zay Jones (ARI)","27","45","216","8.0","23","2","0","1","3","0","0","15","48.9","3.3","1.0%"
"109","Vyncint Smith (FA)","17","31","225","13.2","37","4","0","3","52","1","1","14","48.7","3.5","0.0%"
"110","Isaiah Ford (FA)","23","35","244","10.6","28","2","0","1","11","0","0","9","48.5","5.4","0.0%"
"111","Jaron Brown (FA)","16","28","220","13.8","48","3","2","0","0","0","1","14","48.0","3.4","0.0%"
"112","Tavon Austin (FA)","13","24","177","13.6","59","2","1","6","47","1","0","14","47.4","3.4","0.6%"
"113","Bennie Fowler III (FA)","23","36","193","8.4","17","0","0","1","20","0","0","8","46.3","5.8","0.0%"
"114","KeeSean Johnson (FA)","21","42","187","8.9","31","1","1","1","3","0","1","10","46.0","4.6","0.0%"
"115","Jakeem Grant Sr. (FA)","19","33","164","8.6","18","0","0","4","5","1","1","10","45.9","4.6","0.0%"
"116","Chester Rogers (FA)","16","28","179","11.2","27","2","2","1","18","0","1","12","45.7","3.8","0.0%"
"117","Malik Turner (SF)","15","22","245","16.3","33","6","1","0","0","0","0","15","45.5","3.0","0.0%"
"118","Justin Watson (HOU)","15","26","159","10.6","17","0","2","0","0","0","0","16","42.9","2.7","1.0%"
"119","Javon Wims (FA)","18","39","186","10.3","37","1","1","0","0","0","0","16","42.6","2.7","0.0%"
"120","Scotty Miller (PIT)","13","26","200","15.4","48","3","1","2","16","0","0","10","40.6","4.1","0.1%"
"121","Jake Kumerow (FA)","12","21","219","18.3","49","3","1","0","0","0","0","14","39.9","2.9","0.0%"
"122","Marvin Hall (FA)","7","11","261","37.3","58","6","1","1","7","0","0","9","39.8","4.4","0.0%"
"123","N'Keal Harry (FA)","12","24","105","8.8","18","0","2","5","49","0","0","7","39.4","5.6","0.0%"
"124","Justin Hardy (FA)","19","26","195","10.3","23","2","0","0","0","0","0","16","38.5","2.4","0.0%"
"125","Marquise Goodwin (FA)","12","21","186","15.5","38","3","1","1","15","0","0","9","38.1","4.2","0.0%"
"126","Parris Campbell (FA)","18","24","127","7.1","27","1","1","4","34","0","1","7","38.1","5.4","0.1%"
"127","Damion Ratley (FA)","12","24","200","16.7","46","4","1","0","0","0","0","13","38.0","2.9","0.0%"
"128","Tim Patrick (DET)","16","31","218","13.6","38","3","0","0","0","0","0","8","37.8","4.7","1.8%"
"129","DeSean Jackson (FA)","9","10","159","17.7","53","2","2","0","0","0","0","3","36.9","12.3","0.6%"
"130","Andy Isabella (FA)","9","13","189","21.0","88","2","1","4","15","0","0","15","35.4","2.4","0.0%"
"131","Byron Pringle (FA)","12","16","170","14.2","28","3","1","0","0","0","0","16","35.0","2.2","0.0%"
"132","Duke Williams (FA)","12","19","166","13.8","41","3","1","0","0","0","0","4","34.6","8.7","0.0%"
"133","Dante Pettis (NO)","11","24","109","9.9","21","2","2","0","0","0","0","11","34.5","3.1","0.6%"
"134","Laquon Treadwell (IND)","9","16","184","20.4","58","3","1","0","0","0","0","14","33.4","2.4","0.0%"
"135","J.J. Arcega-Whiteside (FA)","10","22","169","16.9","30","4","1","0","0","0","0","16","32.9","2.1","0.0%"
"136","Dontrelle Inman (FA)","12","21","181","15.1","28","4","0","0","0","0","0","7","30.1","4.3","0.0%"
"137","Kalif Raymond (DET)","9","12","170","18.9","52","3","1","1","-5","0","1","8","29.5","3.7","0.9%"
"138","Trevor Davis (FA)","8","11","111","13.9","28","2","0","4","73","1","2","14","28.4","2.0","0.0%"
"139","Richie James Jr. (FA)","6","10","165","27.5","57","3","1","2","-1","0","1","16","26.4","1.7","0.0%"
"140","DeAndre Carter (CLE)","11","14","162","14.7","46","4","0","0","0","0","1","16","25.2","1.6","0.0%"
"141","Keelan Doss (FA)","11","14","133","12.1","31","1","0","0","0","0","0","8","24.3","3.0","0.0%"
"142","Mack Hollins (NE)","10","23","125","12.5","20","1","0","0","0","0","0","16","22.5","1.4","1.7%"
"143","Devin Smith (FA)","5","9","113","22.6","51","2","1","0","0","0","0","4","22.3","5.6","0.0%"
"144","Deon Cain (BUF)","9","20","124","13.8","35","3","0","0","0","0","0","13","21.4","1.6","0.0%"
"145","Olamide Zaccheaus (CHI)","3","5","115","38.3","93","1","1","0","0","0","0","10","20.5","2.1","0.9%"
"146","Christian Blake (FA)","11","24","91","8.3","13","0","0","0","0","0","0","9","20.1","2.2","0.0%"
"147","Brandon Zylstra (FA)","8","12","106","13.3","40","2","0","0","0","0","0","8","18.6","2.3","0.0%"
"148","Damion Willis (FA)","9","16","82","9.1","17","0","0","0","0","0","0","10","17.2","1.7","0.0%"
"149","Antonio Callaway (FA)","8","15","89","11.1","41","1","0","0","0","0","0","5","16.9","3.4","0.0%"
"150","Antonio Brown (FA)","4","8","56","14.0","20","1","1","1","5","0","0","1","16.1","16.1","1.0%"
"151","Rashard Higgins (FA)","4","11","55","13.8","35","1","1","0","0","0","0","10","15.5","1.6","0.0%"
"152","Deonte Harty (FA)","6","6","24","4.0","13","0","0","4","31","0","1","14","15.5","1.1","0.0%"
"153","Braxton Berrios (HOU)","6","13","115","19.2","69","2","0","0","0","0","1","16","15.5","1.0","0.6%"
"154","Chris Hogan (FA)","8","15","67","8.4","13","0","0","0","0","0","0","7","14.7","2.1","0.0%"
"155","Marcell Ateman (FA)","5","10","116","23.2","36","3","0","0","0","0","1","12","14.6","1.2","0.0%"
"156","J.J. Nelson (FA)","4","5","36","9.0","29","1","1","0","0","0","0","2","13.6","6.8","0.0%"
"157","Riley Ridley (FA)","6","7","69","11.5","32","1","0","0","0","0","0","5","12.9","2.6","0.0%"
"158","T.J. Jones (FA)","3","4","38","12.7","28","1","1","0","0","0","0","3","12.8","4.3","0.0%"
"159","Robert Foster (FA)","3","18","64","21.3","24","3","0","2","29","0","0","13","12.3","0.9","0.0%"
"160","Trent Sherfield Sr. (DEN)","4","13","80","20.0","38","2","0","0","0","0","0","16","12.0","0.8","0.1%"
"161","Jamal Agnew (ATL)","1","2","-2","-2.0","0","0","0","1","9","0","1","13","11.7","0.9","0.0%"
"162","KhaDarel Hodge (ATL)","4","10","76","19.0","41","1","0","0","0","0","0","16","11.6","0.7","0.7%"
"163","Andre Patton (FA)","6","17","56","9.3","15","0","0","0","0","0","0","13","11.6","0.9","0.0%"
"164","Ryan Switzer (FA)","8","11","27","3.4","8","0","0","0","0","0","0","9","10.7","1.2","0.0%"
"165","Tevin Jones (FA)","4","10","61","15.3","28","1","0","0","0","0","0","5","10.1","2.0","0.0%"
"166","Cedrick Wilson Jr. (NO)","5","8","46","9.2","14","0","0","0","0","0","0","6","9.6","1.6","1.1%"
"167","DeAndrew White (FA)","4","9","51","12.8","18","0","0","0","0","0","0","10","9.1","0.9","0.0%"
"168","Chad Beebe (FA)","2","2","70","35.0","61","1","0","0","0","0","0","3","9.0","3.0","0.0%"
"169","Chris Lacy (FA)","3","10","60","20.0","48","1","0","0","0","0","0","7","9.0","1.3","0.0%"
"170","Travis Benjamin (FA)","6","16","30","5.0","13","0","0","0","0","0","0","5","9.0","1.8","1.0%"
"171","Ventell Bryant (FA)","1","1","15","15.0","15","0","1","0","0","0","0","12","8.5","0.7","0.0%"
"172","Diontae Spencer (FA)","6","8","31","5.2","20","1","0","3","6","0","1","16","7.7","0.5","0.0%"
"173","Jordan Matthews (FA)","4","12","33","8.3","10","0","0","0","0","0","0","3","7.3","2.4","0.0%"
"174","Geremy Davis (FA)","3","3","38","12.7","19","0","0","0","0","0","0","8","6.8","0.9","0.0%"
"175","Deontay Burnett (FA)","2","4","48","24.0","41","1","0","0","0","0","0","2","6.8","3.4","0.0%"
"176","Alexander Hollins (FA)","2","4","46","23.0","35","1","0","0","0","0","0","5","6.6","1.3","0.0%"
"177","Jason Moore Jr. (FA)","2","5","43","21.5","32","1","0","0","0","0","0","10","6.3","0.6","0.0%"
"178","Michael Crabtree (FA)","4","5","22","5.5","9","0","0","0","0","0","0","3","6.2","2.1","0.0%"
"179","Devin Funchess (FA)","3","5","32","10.7","16","0","0","0","0","0","0","1","6.2","6.2","0.0%"
"180","Johnny Holton (FA)","3","15","21","7.0","18","0","0","1","9","0","0","16","6.0","0.4","0.0%"
"181","Cody Core (FA)","3","5","28","9.3","11","0","0","0","0","0","0","16","5.8","0.4","0.0%"
"182","Donte Moncrief (FA)","4","15","18","4.5","11","0","0","0","0","0","0","8","5.8","0.7","0.0%"
"183","Steven Mitchell Jr. (FA)","2","6","37","18.5","21","1","0","0","0","0","0","4","5.7","1.4","0.0%"
"184","Andre Roberts (FA)","3","7","20","6.7","7","0","0","1","7","0","0","13","5.7","0.4","0.0%"
"185","Russell Shepard (FA)","3","8","25","8.3","12","0","0","0","0","0","0","3","5.5","1.8","0.0%"
"186","Ryan Grant (FA)","4","9","14","3.5","9","0","0","0","0","0","0","2","5.4","2.7","0.0%"
"187","Ishmael Hyman (FA)","2","4","34","17.0","31","1","0","0","0","0","0","2","5.4","2.7","0.0%"
"188","Chris Moore (WAS)","3","5","21","7.0","13","0","0","1","0","0","0","14","5.1","0.4","0.0%"
"189","C.J. Board (FA)","2","4","31","15.5","23","1","0","0","0","0","0","4","5.1","1.3","0.0%"
"190","Marqise Lee (FA)","3","4","18","6.0","8","0","0","1","1","0","0","6","4.9","0.8","1.0%"
"191","Stanley Morgan Jr. (FA)","3","10","18","6.0","9","0","0","0","0","0","0","11","4.8","0.4","0.0%"
"192","Cam Sims (FA)","2","3","27","13.5","15","0","0","0","0","0","0","8","4.7","0.6","0.0%"
"193","Da'Mari Scott (FA)","2","3","22","11.0","11","0","0","1","5","0","0","5","4.7","0.9","0.0%"
"194","Bobo Wilson (FA)","3","11","35","11.7","14","0","0","0","0","0","1","6","4.5","0.8","0.1%"
"195","Fred Brown (FA)","2","3","21","10.5","16","0","0","0","0","0","0","13","4.1","0.3","0.0%"
"196","Josh Bellamy (FA)","2","3","20","10.0","15","0","0","0","0","0","0","7","4.0","0.6","0.0%"
"197","Ashton Dulin (IND)","2","2","17","8.5","13","0","0","0","0","0","0","13","3.7","0.3","0.1%"
"198","Darius Jennings (FA)","2","5","17","8.5","11","0","0","0","0","0","0","8","3.7","0.5","0.0%"
"199","Robert Davis (FA)","2","5","17","8.5","11","0","0","0","0","0","0","6","3.7","0.6","0.0%"
"200","Gunner Olszewski (NYG)","2","4","34","17.0","29","1","0","0","0","0","1","8","3.4","0.4","0.0%"
"201","Mike Thomas (FA)","2","5","14","7.0","9","0","0","0","0","0","0","16","3.4","0.2","0.0%"
"202","Cody Hollister (FA)","2","2","13","6.5","11","0","0","0","0","0","0","5","3.3","0.7","0.0%"
"203","Rashard Davis (FA)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"204","Jeff Smith (FA)","1","2","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"205","John Ursua (FA)","1","1","11","11.0","11","0","0","0","0","0","0","3","2.1","0.7","0.0%"
"206","De'Anthony Thomas (FA)","1","2","6","6.0","6","0","0","2","5","0","0","14","2.1","0.2","0.0%"
"207","Austin Carr (FA)","1","4","9","9.0","9","0","0","0","0","0","0","7","1.9","0.3","0.0%"
"208","Dwayne Harris (FA)","1","1","7","7.0","7","0","0","0","0","0","0","3","1.7","0.6","1.2%"
"209","Jaleel Scott (FA)","1","3","6","6.0","6","0","0","0","0","0","0","3","1.6","0.5","0.0%"
"210","Krishawn Hogan (FA)","1","1","4","4.0","4","0","0","0","0","0","0","8","1.4","0.2","0.0%"
"211","Cyril Grayson Jr. (FA)","1","1","3","3.0","3","0","0","0","0","0","0","2","1.3","0.7","0.0%"
"212","Justin Hunter (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"213","Terrance Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Markus Wheaton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Kelvin Benjamin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"216","Martavis Bryant (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"217","Jeremy Ross (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Brian Quick (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"219","Andre Holmes (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"220","Rod Streater (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"221","Deonte Thompson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"222","Freddie Martino (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"223","Jordy Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"224","James Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"225","Mike Wallace (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Pierre Garcon (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"227","Matthew Slater (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"228","Brandon Tate (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"229","Brandon Marshall (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.6%"
"230","Darrius Heyward-Bey (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Torrey Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"232","Jeremy Kerley (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"233","A.J. Green (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"234","Doug Baldwin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"235","Kamar Aiken (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Brandon LaFell (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"237","Daurice Fountain (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","Derrick Willies (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"239","Darvin Kidsy (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"240","Keith Kirkwood (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"241","Janarion Grant (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"242","John Franklin III (FA)","0","0","0","0","0","0","0","1","11","0","0","1","0.0","0.0","0.0%"
"243","Rico Gafford (FA)","2","2","66","33.0","49","1","1","0","0","0","0","4","0.0","0.0","0.0%"
"244","Saeed Blacknall (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"245","Equanimeous St. Brown (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"246","Cam Phillips (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"247","Deante Burton (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
