player,position,points,adj_points,tier_score,tier
Will Dissly,TE,95.3,43.37018290642231,-1.2053707519583483,5
Jaydon Blue,RB,108.0,45.13124776557816,-2.6518644182133073,6
Ray Davis,RB,105.0,43.51623449698364,-6.135449260674392,6
Noah Gray,TE,91.6,41.136237497303036,-6.2941620289170075,5
Justice Hill,RB,102.0,41.901221228389126,-9.619034103135462,6
Tyler Allgeier,RB,102.0,41.901221228389126,-9.619034103135462,6
Trey Benson,RB,101.0,41.36288347219095,-10.78022905062248,6
Isaac Guerendo,RB,99.8,40.71687816475315,-12.173662987606903,6
Kareem Hunt,RB,97.4,39.42486754987753,-14.960530861575783,6
Roschon Johnson,RB,95.5,38.402025813101005,-17.16680126180114,6
Nick Chubb,RB,93.6,37.37918407632448,-19.373071662026497,7
Bhayshul Tuten,RB,93.0,37.056181422605576,-20.06978863051871,7
Braelon Allen,RB,90.5,35.71033703211015,-22.972775999236262,7
Daniel Jones,QB,125.0,37.873820873477094,-23.435237614181617,6
Zack Moss,RB,88.1,34.418326417234525,-25.75964387320513,7
Jaylen Wright,RB,87.3,33.98765621227599,-26.68859983119475,7
Dylan Sampson,RB,86.8,33.718487334176906,-27.269197304938288,7
Joe Flacco,QB,118.0,33.0671576863872,-33.152266852336,6
Miles Sanders,RB,77.8,28.873447528393356,-37.719951832321506,7
MarShawn Lloyd,RB,76.7,28.281275996575367,-38.99726627455722,7
Ty Johnson,RB,75.8,27.79677201599701,-40.04234172729554,7
Samaje Perine,RB,75.3,27.527603137897923,-40.622939201039074,8
Kendre Miller,RB,73.5,26.558595176741218,-42.71309010651571,8
Raheem Mostert,RB,73.2,26.397093849881767,-43.06144859076181,8
Spencer Rattler,QB,108.0,26.20049599054448,-47.03373719255653,6
Alexander Mattison,RB,68.3,23.75923884451072,-48.75130383344825,8
Gus Edwards,RB,64.8,21.875056697817115,-52.815486149652855,8
Ameer Abdullah,RB,63.3,21.067550063519857,-54.55727857088338,8
Woody Marks,RB,62.2,20.47537853170187,-55.83459301311912,8
Devin Singletary,RB,61.6,20.15237587798297,-56.53130998161133,8
Kirk Cousins,QB,100.0,20.707166633870308,-58.138913464732966,6
Antonio Gibson,RB,59.5,19.021866589966805,-58.96981937133408,8
Kenny Pickett,QB,78.2,5.73784413693319,-88.40051880641377,6
